Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Fabio Silva,Midfielder,Left Midfield,"Apr 3, 1985 ",39,"['Cape Verde', 'Portugal']",Portugal,Lissabon,RM,"1,82",-
3,David Silva,Midfielder,Left Midfield,"Oct 11, 1986 ",37,"['Cape Verde', 'Portugal']",Portugal,Coimbra,RM   LW,"1,78",-
,Admar Moacyr Sousa Felix,Midfielder,Left Midfield,"Dec 5, 1987 ",36,"['Portugal', 'Guinea-Bissau']",Portugal,Lissabon,LB   LW,N/A,-
,Junior Livramento,Midfielder,Left Midfield,"Dec 12, 1987 ",36,"['Netherlands', 'Portugal']",Portugal,Almada,LB   DM,"1,82",-
,Pedro Marques,Midfielder,Left Midfield,"Mar 31, 1988 ",36,['Portugal'],Portugal,Figueira da Foz,RW   LW,"1,80",-
,Vitinha,Midfielder,Left Midfield,"Dec 1, 1989 ",34,['Portugal'],Portugal,,AM   CM,"1,73",-
,Pedro Almeida,Midfielder,Left Midfield,"Jun 1, 1989 ",34,['Portugal'],Portugal,Águeda,CM,"1,78",-
10,Medeiros,Midfielder,Left Midfield,"Oct 19, 1990 ",33,['Portugal'],Portugal,Matosinhos,AM   CM,"1,80",-
20,André Carreira,Midfielder,Left Midfield,N/A ,31,"['Portugal', 'Germany']",Portugal,,RM,,-
,Zé Brochado,Midfielder,Left Midfield,"Jul 14, 1992 ",31,['Portugal'],Portugal,Fafe,DM   LB,"1,74",-
10,Fábio Carvalho,Midfielder,Left Midfield,"Jan 7, 1993 ",31,['Portugal'],Portugal,Santa Comba Dão,LW,"1,78",-
12,Tin-U Lei,Midfielder,Left Midfield,"Feb 16, 1993 ",31,['Macao'],Portugal,Macao,RM   LW,"1,82",-
,Postiga,Midfielder,Left Midfield,"Nov 25, 1993 ",30,['Portugal'],Portugal,Custóias,AM,"1,78",-
,Berna,Midfielder,Left Midfield,"Sep 9, 1994 ",29,['Portugal'],Portugal,Tábua,AM,"1,75",-
,Valdo Borges,Midfielder,Left Midfield,"Feb 8, 1994 ",30,"['Cape Verde', 'Portugal']",Portugal,Sintra,AM   RM,"1,76",-
17,Gil Dias,Midfielder,Left Midfield,"Sep 28, 1996 ",27,['Portugal'],Portugal,Gafanha da Nazaré,LW   RW,"1,86",€900k
,André Afonso,Midfielder,Left Midfield,"Mar 11, 1996 ",28,['Portugal'],Portugal,Faro,RM   RW,"1,70",-
17,Gonçalo Duarte,Midfielder,Left Midfield,"Apr 19, 1998 ",25,['Portugal'],Portugal,Viseu,AM   RM,"1,69",-
,Diogo Matos,Midfielder,Left Midfield,"Jan 7, 1998 ",26,['Portugal'],Portugal,Insua,,"1,68",-
,Pedro Lopes,Midfielder,Left Midfield,"Apr 28, 1999 ",24,['Portugal'],Portugal,Guimarães,CM   LW,"1,83",-
,Jorge Guerreiro,Midfielder,Left Midfield,"Jan 20, 1999 ",25,['Portugal'],Portugal,Faro,LW,"1,79",-
40,Edgar Lopes,Midfielder,Left Midfield,"Feb 24, 1999 ",25,['Portugal'],Portugal,Viseu,AM,,-
,Bernardo Figueiredo,Midfielder,Left Midfield,"Aug 2, 1999 ",24,['Portugal'],Portugal,Viseu,LB,"1,81",-
28,Flávio Patermeu,Midfielder,Left Midfield,"Jun 3, 2000 ",23,['Portugal'],Portugal,Setúbal,,,-
24,Gonçalo Santos,Midfielder,Left Midfield,"Jan 22, 2001 ",23,['Portugal'],Portugal,Barreiro,LW   LB,"1,75",-
,Iúri Simão,Midfielder,Left Midfield,"Jan 4, 2001 ",23,"['Portugal', 'Switzerland']",Portugal,,LB,"1,81",-
28,Diogo Bondoso,Midfielder,Left Midfield,"Mar 28, 2001 ",23,['Portugal'],Portugal,Moimenta da Beira,LB,"1,80",-
,Tiago Queirós,Midfielder,Left Midfield,N/A ,21,['Portugal'],Portugal,Lissabon,RM   RB,"1,82",-
