Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Ruisinho,Striker,Left Winger,"Jun 2, 1985 ",38,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,67",-
20,Ferrinho,Striker,Left Winger,"Oct 19, 1985 ",38,['Portugal'],Portugal,Fafe,AM   LM,"1,76",-
,Ricardinho,Striker,Left Winger,"Feb 17, 1985 ",39,['Portugal'],Portugal,Montijo,,"1,82",-
,Márcio Madeira,Striker,Left Winger,"Aug 19, 1985 ",38,['Portugal'],Portugal,Sines,RW,"1,76",-
11,Serginho,Striker,Left Winger,"Dec 5, 1985 ",38,['Portugal'],Portugal,Lisboa,RW,"1,82",-
,Alex Dias,Striker,Left Winger,"Jul 5, 1985 ",38,['Portugal'],Portugal,Pombal,LM   AM,"1,70",-
,Hugo Monteiro,Striker,Left Winger,"May 9, 1985 ",38,['Portugal'],Portugal,Porto,RW   AM,"1,76",-
,João Pimenta,Striker,Left Winger,"Jul 12, 1985 ",38,['Portugal'],Portugal,Vila Nova de Foz Côa,,"1,78",-
,Filipe Coutinho,Striker,Left Winger,"Sep 4, 1985 ",38,['Portugal'],Portugal,São Pedro da Cova,LB,,-
,China,Striker,Left Winger,"Nov 29, 1985 ",38,['Portugal'],Portugal,Penafiel,RW,"1,85",-
28,Nélson Torres,Striker,Left Winger,"Mar 6, 1985 ",39,"['Portugal', 'Cape Verde']",Portugal,Lisboa,LM   LB,"1,75",-
,Steve,Striker,Left Winger,"Feb 16, 1985 ",39,['Portugal'],Portugal,Câmara de Lobos,RW   LM,"1,75",-
,Quinaz,Striker,Left Winger,"Jun 18, 1985 ",38,['Portugal'],Portugal,Lisboa,AM,"1,75",-
7,Serginho,Striker,Left Winger,"Jun 16, 1985 ",38,"['Portugal', 'Greece']",Portugal,Porto,AM   RW,"1,77",-
,Diogo Andrade,Striker,Left Winger,"Jul 23, 1985 ",38,['Portugal'],Portugal,Lissabon,RW,"1,75",-
,Gil,Striker,Left Winger,"Feb 24, 1985 ",39,['Portugal'],Portugal,Barcelos,RW,"1,76",-
,Varela,Striker,Left Winger,"Feb 2, 1985 ",39,"['Portugal', 'Cape Verde']",Portugal,Almada,RW,"1,80",-
,Mané,Striker,Left Winger,"Jun 29, 1985 ",38,['Portugal'],Portugal,Ovar,LB   LM,"1,76",-
30,Nani,Striker,Left Winger,"Nov 17, 1986 ",37,"['Portugal', 'Cape Verde']",Portugal,Amadora,RW   SS,"1,77",€275k
,Nuno Ventura,Striker,Left Winger,"Jun 21, 1986 ",37,['Portugal'],Portugal,,,"1,78",-
,Riera,Striker,Left Winger,"Sep 15, 1986 ",37,"['Portugal', 'Andorra']",Portugal,Vila Nova de Famalicão,RW,"1,72",-
,Bruno Carvalho,Striker,Left Winger,"Mar 10, 1986 ",38,['Portugal'],Portugal,Vila Franca de Xira,AM   RW,"1,73",-
,Hélder Maias,Striker,Left Winger,"May 29, 1986 ",37,['Portugal'],Portugal,Felgueiras,AM   LB,"1,82",-
,Filipe Ribeiro,Striker,Left Winger,"Apr 27, 1986 ",37,['Portugal'],Portugal,Braga,LB,"1,76",-
