Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Fábio Ribeiro,Defender,Right-Back,"Jul 7, 1985 ",38,['Portugal'],Portugal,Porto,RM,,-
,Marco Paiva,Defender,Right-Back,"Nov 6, 1985 ",38,['Portugal'],Portugal,Coimbra,LB,"1,72",-
,Carlitos,Defender,Right-Back,"Oct 7, 1985 ",38,['Portugal'],Portugal,Cinfães,RM,"1,72",-
25,Celsinho,Defender,Right-Back,"Nov 22, 1985 ",38,['Portugal'],Portugal,Câmara de Lobos,LB   DM,"1,74",-
,Bruno Gambóias,Defender,Right-Back,"Apr 10, 1985 ",38,['Portugal'],Portugal,Setúbal,RM,"1,76",-
,Daniel,Defender,Right-Back,"Nov 25, 1985 ",38,['Portugal'],Portugal,Camarate,LB,"1,72",-
,Diogo Martins,Defender,Right-Back,"May 11, 1985 ",38,['Portugal'],Portugal,Póvoa de Santo Adrião,CB,"1,85",-
,Tiago Costa,Defender,Right-Back,"Apr 22, 1985 ",38,['Portugal'],Portugal,Lisboa,RM,"1,71",-
,Pedrinho,Defender,Right-Back,"Mar 6, 1985 ",39,['Portugal'],Portugal,Vila do Conde,LB,"1,77",-
,Hugo Pinheiro,Defender,Right-Back,"Oct 19, 1985 ",38,['Portugal'],Portugal,Vila Nova de Famalicão,CB,"1,82",-
,Vasco Barros,Defender,Right-Back,"May 24, 1985 ",38,['Portugal'],Portugal,Mourão,,"1,79",-
,Bruno Pacheco,Defender,Right-Back,"Jan 21, 1985 ",39,['Portugal'],Portugal,Porto,,"1,72",-
,Tiago Mota,Defender,Right-Back,"Nov 12, 1985 ",38,['Portugal'],Portugal,Lisboa,CB   DM,"1,80",-
,Rúben Gomes,Defender,Right-Back,"Dec 19, 1985 ",38,['Portugal'],Portugal,Santa Maria da Feira,RM   RW,"1,78",-
,Pedro Dionísio,Defender,Right-Back,"Dec 29, 1985 ",38,['Portugal'],Portugal,Cartaxo,RM   RW,"1,78",-
,Nelo,Defender,Right-Back,"Oct 25, 1985 ",38,"['Portugal', 'Mozambique']",Portugal,,,N/A,-
,Carlitos,Defender,Right-Back,"Apr 23, 1985 ",38,"['Cape Verde', 'Portugal']",Portugal,Almada,LB   CB,"1,74",-
,Sarmento,Defender,Right-Back,"Mar 16, 1985 ",39,"['Portugal', 'Luxembourg']",Portugal,Aveiro,RM,"1,80",-
20,Vieirinha,Defender,Right-Back,"Jan 24, 1986 ",38,['Portugal'],Portugal,Guimarães,LB   RW,"1,72",€300k
,Barroso,Defender,Right-Back,"Dec 19, 1986 ",37,['Portugal'],Portugal,São Tomé de Negrelos,,,-
,Paulo Emílio,Defender,Right-Back,"May 2, 1986 ",37,['Portugal'],Portugal,Campo Maior,CM,,-
,Dani Fernandes,Defender,Right-Back,"Nov 29, 1986 ",37,['Portugal'],Portugal,Vila Pouca de Aguiar,,"1,77",-
,Zé Augusto,Defender,Right-Back,"Jun 7, 1986 ",37,['Portugal'],Portugal,Matosinhos,CB,"1,81",-
23,André Cunha,Defender,Right-Back,"Sep 16, 1986 ",37,['Portugal'],Portugal,Fundão,RM,"1,81",-
,Marco Couto,Defender,Right-Back,"Jul 15, 1986 ",37,['Portugal'],Portugal,Fiães,,,-
,Relvão,Defender,Right-Back,"Mar 28, 1986 ",38,['Portugal'],Portugal,Coimbra,,,-
17,Cheng-Hou Kong,Defender,Right-Back,"Aug 2, 1986 ",37,['Macao'],Portugal,Macao,CB,"1,82",-
,João Araújo,Defender,Right-Back,"Jun 21, 1986 ",37,['Portugal'],Portugal,Maia,,"1,80",-
,Paulo Arantes,Defender,Right-Back,"Nov 15, 1986 ",37,['Portugal'],Portugal,Barcelos,CB   DM,"1,82",-
13,Miguel Lopes,Defender,Right-Back,"Dec 19, 1986 ",37,['Portugal'],Portugal,Lisboa,CB   RM,"1,83",€50k
,Pedro Coentrão,Defender,Right-Back,"Nov 3, 1986 ",37,['Portugal'],Portugal,Vila do Conde,,"1,72",-
,Jorge Almeida,Defender,Right-Back,"Apr 7, 1986 ",38,['Portugal'],Portugal,Lisboa,,"1,78",-
,Hugo Monteiro,Defender,Right-Back,"Jan 28, 1986 ",38,['Portugal'],Portugal,Santarém,,"1,70",-
,Marco Mendonça,Defender,Right-Back,"Feb 26, 1986 ",38,['Portugal'],Portugal,Funchal,,"1,71",-
14,Tomé,Defender,Right-Back,"Jun 10, 1986 ",37,['Portugal'],Portugal,Bodiosa,RM,"1,77",-
,Nuno Lopes,Defender,Right-Back,"Dec 19, 1986 ",37,['Portugal'],Portugal,Lisboa,LB   RW,"1,84",-
,João Dias,Defender,Right-Back,"Dec 23, 1986 ",37,['Portugal'],Portugal,Braga,CB,"1,80",-
17,João Pedro,Defender,Right-Back,"May 4, 1986 ",37,['Portugal'],Portugal,Figueira de Castelo Rodrigo,RW   RM,"1,77",-
,Tiago Rosa,Defender,Right-Back,"Mar 6, 1986 ",38,['Portugal'],Portugal,Lisboa,CB,"1,85",-
,Jonas,Defender,Right-Back,"Dec 11, 1987 ",36,['Portugal'],Portugal,São João da Madeira,LB,"1,75",-
,Folgosa,Defender,Right-Back,"Jul 15, 1987 ",36,['Portugal'],Portugal,Folgosa,,"1,68",-
,Pedro Duarte,Defender,Right-Back,"Mar 30, 1987 ",37,['Portugal'],Portugal,Paredes,RM   RW,"1,70",-
,Daniel Marques,Defender,Right-Back,"Sep 28, 1987 ",36,['Portugal'],Portugal,Vila Nova de Famalicão,LB,"1,80",-
,Filipe Vaz,Defender,Right-Back,"Sep 22, 1987 ",36,['Portugal'],Portugal,Mirandela,,"1,77",-
17,Luciano Serpa,Defender,Right-Back,"Mar 29, 1987 ",37,['Portugal'],Portugal,Prainha,RW   RM,"1,81",-
,Serginho,Defender,Right-Back,"Jun 5, 1987 ",36,['Portugal'],Portugal,,,,-
,Pedro Caipiro,Defender,Right-Back,"Jan 14, 1987 ",37,['Portugal'],Portugal,Loures,LB,"1,75",-
,André Nogueira,Defender,Right-Back,"Feb 10, 1987 ",37,['Portugal'],Portugal,Anadia,RM,"1,73",-
,Sílvio,Defender,Right-Back,"Sep 28, 1987 ",36,['Portugal'],Portugal,Lisboa,LB,"1,76",-
,Mano,Defender,Right-Back,"Apr 9, 1987 ",37,"['Portugal', 'Cape Verde']",Portugal,Lisboa,LB   RW,"1,70",-
13,Hugo Venâncio,Defender,Right-Back,"Feb 16, 1987 ",37,['Portugal'],Portugal,Penedo Gordo,,"1,85",-
,Flávio Passos,Defender,Right-Back,"Feb 6, 1987 ",37,['Portugal'],Portugal,,,,-
,Luís Veloso,Defender,Right-Back,"Jun 3, 1987 ",36,['Portugal'],Portugal,Lisboa,RW,"1,74",-
28,Mário Verdades,Defender,Right-Back,"Apr 10, 1987 ",36,['Portugal'],Portugal,Porto,DM   CM,"1,79",-
12,Adilson,Defender,Right-Back,"Nov 25, 1987 ",36,"['Portugal', 'Cape Verde']",Portugal,Lisboa,RW   LW,"1,80",-
,Patrício,Defender,Right-Back,"Mar 20, 1987 ",37,['Portugal'],Portugal,Salzedas,,"1,76",-
,Sido Jombati,Defender,Right-Back,"Aug 20, 1987 ",36,"['Portugal', 'Angola']",Portugal,Lisboa,CB   LB,"1,93",-
,Luís Lagoa,Defender,Right-Back,"May 30, 1987 ",36,['Portugal'],Portugal,Leiria,,"1,76",-
,André Duarte,Defender,Right-Back,"May 28, 1987 ",36,['Portugal'],Portugal,Porto,CB,"1,78",-
,Pedro Correia,Defender,Right-Back,"Mar 27, 1987 ",37,['Portugal'],Portugal,Lagos,,"1,80",-
,Luís Dias,Defender,Right-Back,"Jan 3, 1987 ",37,['Portugal'],Portugal,Penafiel,LB,"1,80",-
2,João Aurélio,Defender,Right-Back,"Aug 17, 1988 ",35,['Portugal'],Portugal,Beja,CM   RM,"1,82",€100k
,Cabido,Defender,Right-Back,"Mar 23, 1988 ",36,['Portugal'],Portugal,Vila de Chã de Sá,LB,"1,66",-
,Tó Zé,Defender,Right-Back,"Sep 9, 1988 ",35,['Portugal'],Portugal,,,,-
,Joel Pinho,Defender,Right-Back,"Jan 12, 1988 ",36,['Portugal'],Portugal,Arouca,,"1,75",-
,Neno,Defender,Right-Back,"Jul 28, 1988 ",35,['Portugal'],Portugal,Terras de Bouro,,"1,72",-
,Carela,Defender,Right-Back,"Mar 15, 1988 ",36,['Portugal'],Portugal,Ovar,RM   RW,"1,76",-
,Vasco Campos,Defender,Right-Back,"Apr 25, 1988 ",35,['Portugal'],Portugal,Barreiro,,"1,76",-
,Dário Ferreira,Defender,Right-Back,"Jan 12, 1988 ",36,['Portugal'],Portugal,Funchal,,"1,72",-
,Morais,Defender,Right-Back,"Oct 10, 1988 ",35,['Portugal'],Portugal,Porto,CB,"1,79",-
,Carlos Filipe,Defender,Right-Back,"Jul 15, 1988 ",35,['Portugal'],Portugal,Guimarães,RM   RW,"1,76",-
,João Diogo,Defender,Right-Back,"Feb 28, 1988 ",36,['Portugal'],Portugal,Funchal,RM   DM,"1,75",-
,Luís Portela,Defender,Right-Back,"Jan 28, 1988 ",36,['Portugal'],Portugal,Setúbal,,"1,82",-
14,Xolé,Defender,Right-Back,"May 16, 1988 ",35,['Portugal'],Portugal,,LB,,-
13,Cassiano,Defender,Right-Back,"Feb 24, 1988 ",36,['Portugal'],Portugal,,,"1,72",-
,Cristiano,Defender,Right-Back,"Jun 3, 1988 ",35,['Portugal'],Portugal,Barcelos,RM   RW,"1,78",-
,João Paulo,Defender,Right-Back,"Jun 23, 1988 ",35,['Portugal'],Portugal,Vila do Conde,LB,"1,71",-
,Gonçalo,Defender,Right-Back,"Aug 26, 1988 ",35,['Portugal'],Portugal,Porto Santo,RM,"1,72",-
,Jorge Araújo,Defender,Right-Back,"Jul 29, 1988 ",35,"['Portugal', 'Angola']",Portugal,Lisboa,RM,"1,83",-
,Ricardo Pereira,Defender,Right-Back,"Mar 22, 1988 ",36,['Portugal'],Portugal,Lisboa,,,-
,Chico Gomes,Defender,Right-Back,"Jun 2, 1988 ",35,['Portugal'],Portugal,Torres Vedras,LB,"1,78",-
6,Tiago Moreira,Defender,Right-Back,"Apr 27, 1988 ",35,['Portugal'],Portugal,Felgueiras,LB   CB,"1,79",-
27,Carlitos,Defender,Right-Back,"Sep 24, 1988 ",35,"['Angola', 'Portugal']",Portugal,Vale de Cambra,RM   RW,"1,82",-
,João Gonçalves,Defender,Right-Back,"Jan 18, 1988 ",36,['Portugal'],Portugal,Amadora,,"1,80",-
,Vítor Hugo,Defender,Right-Back,"Mar 22, 1988 ",36,['Portugal'],Portugal,Ponte de Lima,CB   DM,"1,83",-
30,David Pedroso,Defender,Right-Back,"Feb 24, 1989 ",35,['Portugal'],Portugal,Torres Novas,RM,"1,80",-
20,Márcio,Defender,Right-Back,"Mar 25, 1989 ",35,['Portugal'],Portugal,Ovar,CB   LB,,-
,Beto,Defender,Right-Back,"Apr 2, 1989 ",35,"['Guinea-Bissau', 'Portugal']",Portugal,Loures,LB,"1,72",-
,Pedro Magalhães,Defender,Right-Back,"Jun 26, 1989 ",34,['Portugal'],Portugal,Porto,RM,"1,75",-
,Filipe Godinho,Defender,Right-Back,"Sep 8, 1989 ",34,['Portugal'],Portugal,Amadora,RM   RW,"1,71",-
,Tiago Lopes,Defender,Right-Back,"Jan 4, 1989 ",35,['Portugal'],Portugal,Vila Nova de Gaia,LB   RM,"1,78",-
