Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
18,Júlio Jacinto,Midfielder,Right Midfield,"Aug 13, 1985 ",38,['Portugal'],Portugal,Caldas da Rainha,RW,"1,66",-
,Pintassilgo,Midfielder,Right Midfield,"Jun 30, 1985 ",38,['Portugal'],Portugal,Felgueiras,AM   SS,"1,68",-
,Filipe Morais,Midfielder,Right Midfield,"Nov 21, 1985 ",38,"['Portugal', 'England']",Portugal,Benavente,LM   AM,N/A,-
7,Paulinho,Midfielder,Right Midfield,"Nov 6, 1987 ",36,['Portugal'],Portugal,Peniche,RW,,-
,Rafael Sciani,Midfielder,Right Midfield,"Oct 24, 1987 ",36,"['Brazil', 'Portugal']",Portugal,Sao Lorenzo,,"1,83",-
,Marco André,Midfielder,Right Midfield,"Jul 31, 1987 ",36,['Portugal'],Portugal,Paços de Ferreira,RB   RW,"1,80",-
,Fabinho,Midfielder,Right Midfield,"Jun 26, 1988 ",35,['Portugal'],Portugal,,LM   CM,"1,74",-
,João Portal,Midfielder,Right Midfield,"Apr 13, 1989 ",34,['Portugal'],Portugal,Vidago - Chaves,,"1,70",-
,Rúben Leite,Midfielder,Right Midfield,"Jun 6, 1989 ",34,['Portugal'],Portugal,Ponta Delgada,AM   LM,"1,75",-
13,Barros,Midfielder,Right Midfield,"Jul 23, 1990 ",33,['Portugal'],Portugal,Viseu,AM,"1,71",-
,Adriano Moké,Midfielder,Right Midfield,"Jan 11, 1990 ",34,"['Portugal', 'England']",Portugal,Grande-Lisboa,LM   AM,"1,73",-
7,Nelson Gonçalves,Midfielder,Right Midfield,"Apr 26, 1990 ",33,['Portugal'],Portugal,Lisboa,RW   AM,,-
,Fábio Machado,Midfielder,Right Midfield,"Oct 2, 1991 ",32,['Portugal'],Portugal,Viseu,,,-
,Samuel Pinheiro,Midfielder,Right Midfield,"Oct 30, 1991 ",32,"['Portugal', 'Switzerland']",Portugal,São João de Ver,RW,,-
,Jorge Roxo,Midfielder,Right Midfield,"May 1, 1991 ",32,['Portugal'],Portugal,Chaves,RB,,-
,Fábio Dinis,Midfielder,Right Midfield,"Nov 29, 1992 ",31,['Portugal'],Portugal,Oliveira de Azeméis,LM   RW,"1,75",-
,Filipe Mendes,Midfielder,Right Midfield,"Dec 14, 1993 ",30,['Portugal'],Portugal,Lisboa,RB   LW,"1,65",-
,Mauro Vilhete,Midfielder,Right Midfield,"May 10, 1993 ",30,"['Sao Tome and Principe', 'Portugal']",Portugal,Sintra,LM   CM,"1,73",-
,Patricio da Silva,Midfielder,Right Midfield,"Jan 24, 1993 ",31,"['Portugal', 'Guinea-Bissau']",Portugal,,LM   RB,"1,81",-
,José Correia,Midfielder,Right Midfield,"Apr 28, 1994 ",29,['Luxembourg'],Portugal,,LM   LW,"1,80",-
17,Sergio Oliveira,Midfielder,Right Midfield,"Jan 17, 1994 ",30,"['Luxembourg', 'Portugal']",Portugal,Penafiel,,"1,76",-
,Marco Pauleta,Midfielder,Right Midfield,"Dec 9, 1995 ",28,['Portugal'],Portugal,,RB,,-
,Iniesta,Midfielder,Right Midfield,"Jul 27, 1996 ",27,"['Portugal', 'Cape Verde']",Portugal,,AM   LM,"1,77",-
17,Rafa Pinto,Midfielder,Right Midfield,"Feb 12, 1997 ",27,['Portugal'],Portugal,Portimão,RW   RB,"1,71",-
32,Rui Modesto,Midfielder,Right Midfield,"Oct 7, 1999 ",24,"['Angola', 'Portugal']",Portugal,Vendas Novas,RW,"1,81",€1.20m
,André Moreira,Midfielder,Right Midfield,"Jul 31, 1999 ",24,"['Portugal', 'Switzerland']",Portugal,Mirandela,LM   AM,"1,72",-
7,Diogo Palma,Midfielder,Right Midfield,"Jul 26, 2000 ",23,['Portugal'],Portugal,,RW,"1,67",-
10,Ruben da Mata,Midfielder,Right Midfield,"Jan 7, 2000 ",24,"['Switzerland', 'Portugal']",Portugal,Lissabon,RB,,-
,Gonçalo Batista,Midfielder,Right Midfield,"Jan 20, 2002 ",22,['Portugal'],Portugal,Barreiro,AM   LM,"1,70",-
28,Gonçalo Oliveira,Midfielder,Right Midfield,"Feb 5, 2003 ",21,['Portugal'],Portugal,Ponta Delgada,RB   RW,,-
,Pedrinho,Midfielder,Right Midfield,"Mar 16, 2005 ",19,['Portugal'],Portugal,Vila Nova de Famalicão,AM   RW,"1,64",-
