Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Tiago,Striker,Right Winger,"May 19, 1985 ",39,['Portugal'],Portugal,Fiães,LW   CF,,-
,Luís Paiva,Striker,Right Winger,"Aug 19, 1985 ",38,['Portugal'],Portugal,Maia,,"1,75",-
,Pedro Tavares,Striker,Right Winger,"Dec 16, 1985 ",38,['Portugal'],Portugal,Vila Nova de Gaia,AM   LW,"1,65",-
,Tiquinho,Striker,Right Winger,"Jul 14, 1985 ",38,"['Angola', 'Portugal']",Portugal,Sesimbra,,"1,73",-
,Serginho,Striker,Right Winger,"Jul 10, 1985 ",39,['Portugal'],Portugal,Maia,LW   CF,"1,73",-
,Nandinho,Striker,Right Winger,"May 2, 1985 ",39,['Portugal'],Portugal,Vila do Conde,LW,"1,74",-
10,Telmo Fernandes,Striker,Right Winger,"Feb 17, 1985 ",39,['Portugal'],Portugal,Braga,LW   LM,"1,76",-
,Fábio Sabino,Striker,Right Winger,"Oct 22, 1985 ",38,['Portugal'],Portugal,Caldas da Raínha,,"1,63",-
,Tiago Santos,Striker,Right Winger,"Jul 30, 1985 ",38,['Portugal'],Portugal,Lisboa,,"1,74",-
,João Boiças,Striker,Right Winger,"Jan 10, 1985 ",39,['Portugal'],Portugal,Portimão,LW,"1,86",-
,Pisco,Striker,Right Winger,"Feb 19, 1985 ",39,['Portugal'],Portugal,Matosinhos,LW,"1,70",-
,Rica,Striker,Right Winger,"May 16, 1986 ",38,['Portugal'],Portugal,Sandim,CF   LW,,-
,Maka,Striker,Right Winger,"Apr 12, 1986 ",38,['Portugal'],Portugal,Braga,LW,,-
,Marquinhos,Striker,Right Winger,"Jan 26, 1986 ",38,['Portugal'],Portugal,Amarante,RB   LW,"1,77",-
,Tiago Ribeira,Striker,Right Winger,"Aug 1, 1986 ",37,['Portugal'],Portugal,Ponte de Lima,LW,,-
,Joel Barbosa,Striker,Right Winger,"Mar 3, 1986 ",38,['Portugal'],Portugal,Paredes,LW   AM,"1,78",-
,Zambujo,Striker,Right Winger,"Sep 29, 1986 ",37,['Portugal'],Portugal,Portel,SS   RB,"1,83",-
,Bruno Severino,Striker,Right Winger,"Mar 11, 1986 ",38,['Portugal'],Portugal,Barreiro,LW   CF,"1,70",-
,Jorge Tavares,Striker,Right Winger,"Apr 22, 1986 ",38,['Portugal'],Portugal,Carcavelos,CF   CM,"1,76",-
,Tiago Targino,Striker,Right Winger,"Jun 6, 1986 ",38,"['Portugal', 'Brazil']",Portugal,Beja,LW,"1,80",-
10,Litcha,Striker,Right Winger,"Jan 6, 1986 ",38,['Portugal'],Portugal,Bragança,LW,"1,73",-
