Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,André Oliveira,Striker,Second Striker,"Dec 24, 1986 ",37,['Portugal'],Portugal,Porto,AM,"1,79",-
,Bruninho,Striker,Second Striker,"Sep 30, 1988 ",35,['Portugal'],Portugal,Vila Nova de Gaia,LW   RW,"1,79",-
12,Rafa Lopes,Striker,Second Striker,"Jul 28, 1991 ",32,['Portugal'],Portugal,Esposende,LW   CF,"1,85",€350k
21,Ivan Fidalgo,Striker,Second Striker,"Apr 4, 1992 ",32,['Portugal'],Portugal,Coimbra,CF   LW,"1,76",-
27,Rafa,Striker,Second Striker,"May 17, 1993 ",30,['Portugal'],Portugal,Forte da Casa,RW   LW,"1,72",€18.00m
19,Rui Costa,Striker,Second Striker,"Feb 20, 1996 ",28,['Portugal'],Portugal,Vila Nova de Famalicão,RW   CF,"1,79",€700k
,Bruno Santos,Striker,Second Striker,"Sep 15, 1997 ",26,['Portugal'],Portugal,Lisboa,CF,"1,85",-
23,Diego Garcia,Striker,Second Striker,"Jul 30, 1997 ",26,['Portugal'],Portugal,Maia,RW   LW,"1,74",-
,Diogo Santos,Striker,Second Striker,"May 9, 1998 ",25,['Portugal'],Portugal,Vila Nova de Famalicão,AM,,-
17,Rodrigo Manso,Striker,Second Striker,"Jun 6, 1999 ",24,['Portugal'],Portugal,Funchal,LB,"1,75",-
9,David Calderon,Striker,Second Striker,"Nov 24, 1999 ",24,"['Portugal', 'Spain']",Portugal,Lisboa,AM   CF,"1,85",-
9,Diogo Miguel,Striker,Second Striker,"Jun 30, 1999 ",24,['Portugal'],Portugal,Sintra,LW,"1,78",-
,Kalika,Striker,Second Striker,"Sep 21, 1999 ",24,['Portugal'],Portugal,Paredes,AM   CF,"1,86",-
19,Tiago Machado,Striker,Second Striker,"Aug 10, 2000 ",23,['Portugal'],Portugal,Moreira de Cónegos,LW,"1,71",-
9,Luís Filipe,Striker,Second Striker,"Dec 16, 2000 ",23,['Portugal'],Portugal,Viseu,CF   AM,,-
14,Rui Reis,Striker,Second Striker,"Jan 16, 2001 ",23,['Portugal'],Portugal,Lisboa,CF   LW,"1,75",-
21,Miguel Carvalho,Striker,Second Striker,"Mar 13, 2002 ",22,['Portugal'],Portugal,,AM,"1,63",-
15,Afonso Loja,Striker,Second Striker,"Sep 15, 2002 ",21,['Portugal'],Portugal,Olhão,AM   CF,"1,80",-
9,Rui Santos,Striker,Second Striker,"Mar 10, 2002 ",22,['Portugal'],Portugal,Alvalade,CF   AM,"1,78",-
88,Rubi,Striker,Second Striker,"Aug 8, 2002 ",21,['Portugal'],Portugal,Lisboa,AM,"1,69",-
9,João Guilherme,Striker,Second Striker,"May 29, 2002 ",21,['Portugal'],Portugal,Viseu,CF,"1,87",-
11,Guilherme Sequeira,Striker,Second Striker,"Dec 24, 2003 ",20,['Portugal'],Portugal,Portimão,RW   LW,"1,78",-
30,Rodrigo Ramos,Striker,Second Striker,"Nov 13, 2003 ",20,['Portugal'],Portugal,Lisboa,RW   LW,"1,70",-
,Ivo Cruz,Striker,Second Striker,"Sep 4, 2004 ",19,['Portugal'],Portugal,,,"1,73",-
9,Guilherme Desembargador,Striker,Second Striker,"May 28, 2004 ",19,['Portugal'],Portugal,Seixal,RW   LW,"1,80",-
11,André Bujaca,Striker,Second Striker,"Mar 27, 2004 ",20,['Portugal'],Portugal,Marinha Grande,LW,"1,74",-
