Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Javi Lara,Midfielder,Attacking Midfield,"Dec 4, 1985 ",38,['Spain'],Spain,Montoro,LW   CM,"1,79",€100k
,Antonio Bello,Midfielder,Attacking Midfield,"Jan 30, 1985 ",39,['Spain'],Spain,Jerez de la Frontera,RW   LW,"1,77",€10k
,Sergio Narváez,Midfielder,Attacking Midfield,"Jul 11, 1985 ",39,['Spain'],Spain,Jerez de la Frontera,,"1,75",-
,Richi,Midfielder,Attacking Midfield,"Mar 11, 1985 ",39,['Spain'],Spain,Castellnovo,CM,,-
,Dani Ávalos,Midfielder,Attacking Midfield,"Jan 28, 1985 ",39,['Spain'],Spain,Algeciras,,"1,81",-
,Pedro Ramírez,Midfielder,Attacking Midfield,"Sep 15, 1985 ",38,['Spain'],Spain,Carcaixent,,"1,73",-
,Aarón Fernández,Midfielder,Attacking Midfield,"May 8, 1985 ",39,['Spain'],Spain,Tarragona,LW,"1,89",-
,Iván Pérez,Midfielder,Attacking Midfield,"Nov 16, 1985 ",38,['Spain'],Spain,Santiago de Compostela,LW   RW,"1,71",-
,Pulga,Midfielder,Attacking Midfield,"Nov 6, 1985 ",38,['Spain'],Spain,Almassora,CM,"1,80",-
,Teo Tirado,Midfielder,Attacking Midfield,"Jul 16, 1985 ",39,['Spain'],Spain,Madrid,RB   RW,"1,76",-
,Mario Martínez,Midfielder,Attacking Midfield,"Mar 25, 1985 ",39,['Spain'],Spain,Soria,RW   LW,"1,73",-
,Iván Carril,Midfielder,Attacking Midfield,"Feb 13, 1985 ",39,['Spain'],Spain,Rebordaos,RM,"1,83",-
,Perico,Midfielder,Attacking Midfield,"Jan 18, 1985 ",39,['Spain'],Spain,Málaga,LW,"1,82",-
14,Pablo Rey,Midfielder,Attacking Midfield,"Feb 14, 1985 ",39,['Spain'],Spain,Ferrol,,"1,75",€25k
,Alberto Melero,Midfielder,Attacking Midfield,"Jan 24, 1985 ",39,['Spain'],Spain,Palencia,,"1,79",-
,Javier Romero,Midfielder,Attacking Midfield,N/A ,39,[],Spain,La Cala del Moral,,N/A,-
,Jorge Gazapo,Midfielder,Midfield,N/A ,N/A,[],Spain,N/A,N/A,N/A,-
,Josu Hernáez,Midfielder,Attacking Midfield,"Jul 4, 1985 ",39,['Spain'],Spain,Eibar,RW   LW,"1,76",-
,Israel Losa,Midfielder,Attacking Midfield,"Jul 30, 1985 ",38,['Spain'],Spain,Pradejón,,"1,85",-
,Eloi Amagat,Midfielder,Attacking Midfield,"May 21, 1985 ",39,['Spain'],Spain,Girona,CM,"1,81",-
11,Abraham Noé,Midfielder,Attacking Midfield,"Apr 5, 1985 ",39,['Spain'],Spain,Las Palmas de Gran Canaria,RW   LW,"1,80",-
,David Narváez,Midfielder,Attacking Midfield,"Jul 11, 1985 ",39,['Spain'],Spain,Jerez de la Frontera,LW,"1,70",-
,Saúl,Midfielder,Attacking Midfield,"Apr 9, 1985 ",39,['Spain'],Spain,Oviedo,RW   LW,"1,76",-
,Joselito,Midfielder,Attacking Midfield,"Jan 23, 1985 ",39,['Spain'],Spain,Zalamea la Real,SS   RM,"1,79",-
,Carlitos,Midfielder,Attacking Midfield,"Mar 14, 1985 ",39,['Spain'],Spain,Cádiz,,"1,75",-
,Aitor Martínez,Midfielder,Attacking Midfield,"Jan 10, 1985 ",39,['Spain'],Spain,Terrassa,,"1,81",-
15,Mariano Hernández,Midfielder,Attacking Midfield,"Sep 10, 1986 ",37,['Spain'],Spain,Alcalá de Henares,CM,,-
,Alberto Padilla,Midfielder,Attacking Midfield,"Nov 20, 1986 ",37,['Spain'],Spain,Barcelona,CM,,-
