Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Raúl Albiol,Defender,Centre-Back,"Sep 4, 1985 ",38,['Spain'],Spain,Vilamarxant,,"1,90",€1.50m
,Pol Bueso,Defender,Centre-Back,"Apr 27, 1985 ",39,['Spain'],Spain,Moncófar,LB,"1,85",€50k
,Jonathan Mario Rojas Arroyal,Defender,Centre-Back,"Dec 13, 1985 ",38,['Spain'],Spain,La Linea de la Concepción,,"1,86",-
,José Antonio Reales,Defender,Centre-Back,"Sep 21, 1985 ",38,['Spain'],Spain,Rota,,,-
,David Sánchez,Defender,Centre-Back,"Jan 9, 1985 ",39,['Spain'],Spain,Terrassa,,"1,78",-
,Alberto González,Defender,Centre-Back,"May 1, 1985 ",39,['Spain'],Spain,Barcelona,,,-
,Diego Prendes,Defender,Centre-Back,"Jun 12, 1985 ",39,['Spain'],Spain,Avilés,,"1,81",-
,Andrés Salas,Defender,Centre-Back,"May 7, 1985 ",39,['Spain'],Spain,Córdoba,,"1,89",-
,Álex Fernández,Defender,Centre-Back,"Jun 19, 1985 ",39,['Spain'],Spain,Córdoba,,"1,83",-
,David Puche,Defender,Centre-Back,"Oct 14, 1985 ",38,['Spain'],Spain,Yecla,,"1,84",-
,Daniel Evuy,Defender,Centre-Back,"Mar 11, 1985 ",39,"['Equatorial Guinea', 'Spain']",Spain,Madrid,RB,"1,83",-
,José Durán,Defender,Centre-Back,"Oct 12, 1985 ",38,['Spain'],Spain,Montilla,RB,"1,74",-
,Rui,Defender,Centre-Back,"May 28, 1985 ",39,"['Equatorial Guinea', 'Cape Verde']",Spain,Bembibre,,"1,93",-
24,Yuma,Defender,Centre-Back,"Oct 8, 1985 ",38,['Spain'],Portugal,Madrid,CM   DM,"1,77",€50k
4,Mario Ramón,Defender,Centre-Back,"Nov 10, 1985 ",38,['Spain'],Portugal,Algeciras,,"1,91",€25k
,Andrés Bel,Defender,Centre-Back,"Apr 29, 1985 ",39,['Spain'],Portugal,San Mateo,RB,,-
,Manuel Carrillo,Defender,Centre-Back,"May 11, 1985 ",39,['Spain'],Portugal,Algeciras,,"1,82",-
,Álex Sánchez,Defender,Centre-Back,"Apr 26, 1985 ",39,['Spain'],Portugal,Motril,,"1,86",-
,Sergio Oliva,Defender,Centre-Back,"Feb 27, 1985 ",39,['Spain'],Portugal,Madrid,,"1,92",-
,Ivan Suarez Vigo,Defender,Centre-Back,"Jul 31, 1985 ",38,"['Switzerland', 'Spain']",Portugal,Fisterra,,,-
,Piscu,Defender,Centre-Back,"Jan 23, 1985 ",39,['Spain'],Portugal,Santa Eulalia,,"1,95",-
,Aarón Muni,Defender,Centre-Back,"May 4, 1985 ",39,['Spain'],Portugal,Puerto de la Cruz,,"1,76",-
,Jesús Yécora,Defender,Centre-Back,"Jun 11, 1985 ",39,['Spain'],Portugal,Logroño,,"1,82",-
,Berto Toyos,Defender,Centre-Back,"May 16, 1985 ",39,['Spain'],Portugal,Oviedo,,"1,92",-
,Tomás Ruso,Defender,Centre-Back,"Nov 1, 1985 ",38,['Spain'],Portugal,Alicante,,"1,88",-
,Cholo,Defender,Centre-Back,"Feb 2, 1985 ",39,['Spain'],Spain,Santiago de Compostela,,,-
,Mikel Méndez,Defender,Centre-Back,"Sep 27, 1985 ",38,['Spain'],Spain,Barakaldo,,"1,85",-
,Sestelo,Defender,Centre-Back,"Nov 24, 1985 ",38,['Spain'],Spain,Salvaterra de Miño,,"1,81",-
,Pericolo,Defender,Centre-Back,"May 19, 1985 ",39,['Spain'],Spain,Villafranca,,"1,90",-
,Gabi,Defender,Centre-Back,"Jan 3, 1985 ",39,['Spain'],Spain,Soria,LB,"1,73",-
,Richard,Defender,Centre-Back,"Feb 14, 1985 ",39,['Spain'],Spain,Las Palmas de Gran Canaria,DM,"1,87",-
,Lolo Yedra,Defender,Centre-Back,"Mar 14, 1985 ",39,['Spain'],Spain,Sevilla,,"1,83",-
,José Rodríguez,Defender,Centre-Back,"Jul 1, 1985 ",39,['Spain'],Spain,Palma de Mallorca,,"1,80",-
,Sergio Arévalo,Defender,Centre-Back,"Sep 2, 1985 ",38,['Spain'],Spain,Madrid,CM,"1,86",-
5,Carlos Quesada,Defender,Centre-Back,"May 3, 1985 ",39,['Spain'],Spain,Crevillente,,"1,85",-
,Adrián Martín,Defender,Centre-Back,"Mar 5, 1985 ",39,['Spain'],Spain,Arrecife,,"1,88",-
,Mikel de Gregorio,Defender,Centre-Back,"Sep 23, 1985 ",38,['Spain'],Spain,Getxo,CM,"1,84",-
,Rubén Martinez,Defender,Centre-Back,"Nov 16, 1985 ",38,['Spain'],Spain,Zújar,,,-
,Héctor Jiménez,Defender,Centre-Back,"May 12, 1985 ",39,['Spain'],Portugal,Granada,,"1,88",-
,Santiago Vélez,Defender,Centre-Back,"Jan 26, 1985 ",39,['Spain'],Portugal,Castro Urdiales,,"1,90",-
,Joseba Valencia,Defender,Centre-Back,"Aug 23, 1985 ",38,['Spain'],Portugal,Tafalla,,"1,80",-
,Miguel Ainzua,Defender,Centre-Back,"May 22, 1985 ",39,['Spain'],Portugal,Tafalla,RB,"1,83",-
,Hugo Álvarez,Defender,Centre-Back,"Jun 21, 1985 ",39,['Spain'],Portugal,Vigo,,"1,83",-
,Martín Camaño,Defender,Centre-Back,"Apr 20, 1985 ",39,['Spain'],Portugal,Madrid,,"1,94",-
,Molo Casas,Defender,Centre-Back,"Jun 14, 1985 ",39,['Spain'],Portugal,Almería,,"1,89",-
,Enric Maureta,Defender,Centre-Back,"Feb 28, 1985 ",39,['Spain'],Portugal,Figueres,,"1,79",-
,Jaime Bustillo,Defender,Centre-Back,"Jul 24, 1985 ",38,['Spain'],Portugal,Santander,,"1,86",-
,Diego Muiña,Defender,Centre-Back,"Dec 16, 1985 ",38,['Spain'],Portugal,Lugo,CM,"1,93",-
,José Ángel Blanco,Defender,Centre-Back,"Jan 23, 1985 ",39,['Spain'],Portugal,Oviedo,,"1,82",-
,Eneko López,Defender,Centre-Back,"Oct 8, 1985 ",38,['Spain'],Portugal,Vitoria-Gasteiz,,"1,84",-
,Jorge Pulido,Defender,Centre-Back,"Apr 30, 1985 ",39,['Spain'],Spain,Linares,,"1,88",-
,José Antonio Solano,Defender,Centre-Back,"Feb 4, 1985 ",39,['Spain'],Spain,Cartagena,,"1,88",-
,Víctor Mesa,Defender,Centre-Back,"Apr 16, 1985 ",39,['Spain'],Spain,Santa Cruz de Tenerife,,"1,92",-
,Aritz Borda,Defender,Centre-Back,"Jan 3, 1985 ",39,['Spain'],Spain,Lasarte-Oria,,"1,90",-
,Jonathan Apesteguia,Defender,Centre-Back,"Sep 28, 1985 ",38,['Spain'],Spain,Pamplona,,"1,90",-
