Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Álvaro Negredo,Striker,Centre-Forward,"Aug 20, 1985 ",39,['Spain'],Spain,Madrid,,"1,86",€300k
,Bugui,Striker,Centre-Forward,"Oct 13, 1985 ",38,['Spain'],Spain,Zaragoza,AM,"1,82",-
,José Mari García,Striker,Centre-Forward,"Sep 12, 1985 ",38,['Spain'],Spain,Palma,,,-
,Nene,Striker,Centre-Forward,"Feb 2, 1985 ",39,['Spain'],Spain,Cádiz,,"1,75",-
,Rafa Carvajal,Striker,Centre-Forward,"Nov 11, 1985 ",38,['Spain'],Spain,Almendralejo,,"1,90",-
,Jordi Martí,Striker,Centre-Forward,"Apr 23, 1985 ",39,['Spain'],Spain,Lleida,,"1,81",-
9,David Mainz,Striker,Centre-Forward,"Jun 21, 1985 ",39,['Spain'],Spain,Sádaba,,"1,78",-
,Ibán García,Striker,Centre-Forward,"Nov 15, 1985 ",38,['Spain'],Spain,Zarautz,,"1,80",-
,Pablo Rodríguez,Striker,Centre-Forward,"Jul 20, 1985 ",39,['Spain'],Spain,Valencia,,"1,90",-
21,Marcos de la Espada,Striker,Centre-Forward,"Nov 3, 1985 ",38,['Spain'],Spain,Pollença,,"1,86",-
,Alfi Conteh-Lacalle,Striker,Centre-Forward,"Jan 18, 1985 ",39,"['Sierra Leone', 'Spain']",Spain,Barcelona,SS,"1,80",-
,Álvaro Líbano,Striker,Centre-Forward,"Oct 21, 1985 ",38,['Spain'],Spain,Bilbao,,"1,87",-
,Alberto Criado,Striker,Centre-Forward,"Mar 24, 1985 ",39,['Spain'],Spain,Sant Joan de Vilatorrada,,"1,89",-
,Dani Segovia,Striker,Centre-Forward,"May 23, 1985 ",39,['Spain'],Spain,Madrid,,"1,90",€50k
,Keke,Striker,Centre-Forward,"Jun 25, 1985 ",39,['Spain'],Spain,Santa Cruz de Mieres,,,-
,Carenote,Striker,Centre-Forward,"Mar 5, 1985 ",39,['Spain'],Spain,La Línea de la Concepción,,"1,78",-
,Óscar Briz,Striker,Centre-Forward,"Jul 30, 1985 ",39,['Spain'],Spain,Vega de Villafufre,,"1,77",-
,Balduino Real,Striker,Centre-Forward,"Nov 25, 1985 ",38,['Spain'],Spain,Santa Cruz de Tenerife,,"1,80",-
,Héctor Gómez,Striker,Centre-Forward,"Sep 11, 1985 ",38,['Spain'],Spain,Madrid,SS   RW,"1,82",-
,Raúl Salcedo,Striker,Centre-Forward,"Jan 11, 1985 ",39,['Spain'],Spain,Vitoria-Gasteiz,RW   LW,"1,71",-
,Guillem Martí,Striker,Centre-Forward,"Sep 5, 1985 ",38,['Spain'],Spain,Es Mercadal,,"1,80",-
,Dani López,Striker,Centre-Forward,"Oct 25, 1985 ",38,['Spain'],Spain,Madrid,,"1,87",-
,Marcos Linares,Striker,Centre-Forward,"Aug 17, 1985 ",39,['Spain'],Spain,,,,-
,Alberto Palacios,Striker,Centre-Forward,"Jan 3, 1985 ",39,['Spain'],Spain,Madrid,,"1,81",-
,Juan Carlos Ortiz,Striker,Centre-Forward,"Jun 28, 1985 ",39,['Spain'],Spain,Córdoba,,"1,82",-
,Carlos Gazapo,Striker,Centre-Forward,"Jan 3, 1985 ",39,['Spain'],Spain,Madrid,,N/A,-
,José Arenas,Striker,Centre-Forward,"Feb 21, 1985 ",39,['Spain'],Spain,Ponteareas,,"1,89",-
,José Carlos Gallego,Striker,Centre-Forward,"Apr 23, 1985 ",39,['Spain'],Spain,Calatayud,SS   RW,"1,77",-
,Juanjo,Striker,Centre-Forward,"Oct 3, 1985 ",38,['Spain'],Spain,Calamonte,,"1,84",-
,Quini Pérez,Striker,Centre-Forward,"Oct 29, 1985 ",38,['Spain'],Spain,Sevilla,,"1,80",-
,Ion Vélez,Striker,Centre-Forward,"Feb 17, 1985 ",39,['Spain'],Spain,Tafalla,,"1,83",-
,Rufino Segovia,Striker,Centre-Forward,"Mar 1, 1985 ",39,['Spain'],Spain,Madrid,SS   LW,"1,78",-
,Fernando Llorente,Striker,Centre-Forward,"Feb 26, 1985 ",39,['Spain'],Spain,Pamplona,,"1,95",-
,Juanjo Expósito,Striker,Centre-Forward,"Oct 28, 1985 ",38,['Spain'],Spain,Santander,,"1,87",-
,Roberto Soldado,Striker,Centre-Forward,"May 27, 1985 ",39,['Spain'],Spain,Valencia,,"1,80",-
,Braulio Nóbrega,Striker,Centre-Forward,"Sep 18, 1985 ",38,['Spain'],Spain,Puerto del Rosario,,"1,78",-
,Jonathan Soriano,Striker,Centre-Forward,"Sep 24, 1985 ",38,['Spain'],Spain,El Pont de Vilomara i Rocafort,,"1,80",-
,Pedro Muñoz,Striker,Centre-Forward,"Jul 14, 1985 ",39,['Spain'],Spain,Algeciras,,"1,81",-
,Sergio Arias,Striker,Centre-Forward,"Sep 19, 1985 ",38,['Spain'],Spain,Portomarín,,"1,88",-
