Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
15,Echedey Mayor,Midfielder,Central Midfield,"Sep 21, 1985 ",38,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,84",€25k
,Javilín Fernández,Midfielder,Central Midfield,"Oct 8, 1985 ",38,['Spain'],Spain,Cantoria,,"1,73",-
,José Luis Merino,Midfielder,Central Midfield,"Mar 5, 1985 ",39,['Spain'],Spain,León,,,-
,Alberto Martín,Midfielder,Central Midfield,"Apr 21, 1985 ",39,['Spain'],Spain,Madrid,,"1,82",-
,Álvaro Olmedo,Midfielder,Central Midfield,"Oct 7, 1985 ",38,['Spain'],Spain,Madrid,,,-
,Alberto González,Midfielder,Central Midfield,"Feb 11, 1985 ",39,['Spain'],Spain,Madrid,AM,,-
,Gonzalo Iglesias,Midfielder,Central Midfield,"Apr 10, 1985 ",39,['Spain'],Spain,Madrid,,,-
,Humberto Ramírez,Midfielder,Central Midfield,"Jul 19, 1985 ",39,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,72",-
,Fran Bea,Midfielder,Central Midfield,"Feb 4, 1985 ",39,['Spain'],Spain,Motril,,"1,85",-
,Kiko Girau,Midfielder,Central Midfield,"Jun 3, 1985 ",39,['Spain'],Spain,La Seu d'Urgell,AM,,-
,Alex Díaz,Midfielder,Central Midfield,"Jan 16, 1985 ",39,['Spain'],Spain,Bilbao,,"1,74",-
,Iván Salazar,Midfielder,Central Midfield,"Jun 11, 1985 ",39,['Spain'],Spain,Logroño,CB,"1,84",-
,Tino,Midfielder,Central Midfield,"Aug 29, 1985 ",38,['Spain'],Spain,Sevilla,,,-
,Víctor Vicente,Midfielder,Central Midfield,"Sep 28, 1985 ",38,['Spain'],Spain,A Estrada,,"1,79",-
,Javi López,Midfielder,Central Midfield,"Jun 20, 1985 ",39,['Spain'],Spain,Águilas,,"1,74",-
,Dani Alonso,Midfielder,Central Midfield,"Oct 2, 1985 ",38,['Spain'],Spain,Ponferrada,,"1,80",-
,Roberto Sánchez,Midfielder,Central Midfield,"Jan 13, 1985 ",39,['Spain'],Spain,Ingenio,CB,"1,75",-
15,Domingo Pérez,Midfielder,Central Midfield,"Sep 19, 1985 ",38,['Spain'],Spain,El Puerto de Santa María,CB,"1,86",-
,Marcos López,Midfielder,Central Midfield,"Oct 7, 1985 ",38,['Spain'],Spain,Barcelona,CB   RB,"1,75",-
,Juan Piniella,Midfielder,Central Midfield,"Feb 22, 1985 ",39,['Spain'],Spain,L'Infiestu,,,-
,Airam García,Midfielder,Central Midfield,"Feb 21, 1985 ",39,['Spain'],Spain,Santa Cruz de Tenerife,AM,"1,74",-
,José Ángel,Midfielder,Central Midfield,"Feb 11, 1985 ",39,['Spain'],Spain,Badajoz,AM,"1,80",-
,Óscar San Emeterio,Midfielder,Central Midfield,"Jan 1, 1985 ",39,['Spain'],Spain,Colindres,,"1,77",-
,Emilio Blanco,Midfielder,Central Midfield,"Apr 7, 1985 ",39,['Spain'],Spain,Águilas,,"1,84",-
,Kike,Midfielder,Central Midfield,"Nov 11, 1985 ",38,['Spain'],Spain,Villajoyosa,,"1,81",-
,Miguel Centrón,Midfielder,Central Midfield,"Jun 26, 1985 ",39,['Spain'],Spain,Cangas,LB   LW,"1,75",-
,Raúl Barcos,Midfielder,Central Midfield,"Aug 25, 1985 ",39,['Spain'],Spain,Santa Cruz de Tenerife,AM,"1,75",-
,Juan Nevado,Midfielder,Central Midfield,"Sep 21, 1985 ",38,['Spain'],Spain,Madrid,,"1,73",-
,David Lázaro,Midfielder,Central Midfield,"Jun 1, 1985 ",39,['Spain'],Spain,Cabanillas,CB,"1,77",-
,Xabi Otiñano,Midfielder,Central Midfield,"May 20, 1985 ",39,['Spain'],Spain,Portugalete,CB,"1,84",-
14,Manolo,Midfielder,Central Midfield,"Nov 25, 1985 ",38,['Spain'],Spain,Bullas,,"1,82",-
,Pascual Puente,Midfielder,Central Midfield,"Sep 15, 1985 ",38,['Spain'],Spain,Arriondas,,"1,76",-
,Txopi,Midfielder,Central Midfield,"Apr 14, 1985 ",39,['Spain'],Spain,Salamanca,AM,"1,76",-
,Diego Aller,Midfielder,Central Midfield,"May 14, 1985 ",39,['Spain'],Spain,León,,"1,78",-
,Abraham González,Midfielder,Central Midfield,"Jul 16, 1985 ",39,['Spain'],Spain,Barcelona,DM   AM,"1,75",-
,Óscar Valero,Midfielder,Central Midfield,"Aug 28, 1985 ",38,['Spain'],Spain,Zaragoza,RB,"1,82",-
,Míchel Madera,Midfielder,Central Midfield,"Nov 8, 1985 ",38,['Spain'],Spain,La Pola Llena,AM   DM,"1,83",-
,Jorge Alonso,Midfielder,Central Midfield,"Jan 5, 1985 ",39,['Spain'],Spain,Salamanca,AM,"1,79",-
,César Remón,Midfielder,Central Midfield,"Oct 2, 1985 ",38,['Spain'],Spain,Logroño,,"1,82",-
22,Dani González,Midfielder,Central Midfield,"Jan 28, 1985 ",39,['Spain'],Spain,Vélez,,"1,72",-
6,Jony Ñiguez,Midfielder,Central Midfield,"Apr 2, 1985 ",39,['Spain'],Spain,Elche,,"1,84",-
,Dani Fornell,Midfielder,Central Midfield,"Oct 21, 1985 ",38,['Spain'],Spain,Chiclana de la Frontera,,"1,77",-
,Tito,Midfielder,Central Midfield,"May 24, 1985 ",39,['Spain'],Spain,Santa Coloma de Gramenet,,"1,85",-
,Néstor,Midfielder,Central Midfield,"Jul 16, 1985 ",39,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,80",-
,Alfonso Valín,Midfielder,Central Midfield,"May 6, 1985 ",39,['Spain'],Spain,Portugalete,CB,"1,85",-
,Andoitz Galdós,Midfielder,Central Midfield,"Apr 11, 1985 ",39,['Spain'],Spain,Laudio/Llodio,,"1,79",-
,Emilio Sánchez,Midfielder,Central Midfield,"Mar 30, 1985 ",39,['Spain'],Spain,Albacete,AM,"1,75",-
,David Rocha,Midfielder,Central Midfield,"Feb 7, 1985 ",39,['Spain'],Spain,Cáceres,,"1,79",-
,Guillermo Grande,Midfielder,Central Midfield,"Jul 18, 1985 ",39,['Spain'],Spain,Zaragoza,,"1,70",-
6,Tali Gascón,Midfielder,Central Midfield,"May 13, 1985 ",39,['Spain'],Spain,Gijón,,"1,80",-
,Rodri Gil,Midfielder,Central Midfield,"Apr 25, 1985 ",39,['Spain'],Spain,Cehegín,CB,"1,76",-
,Borja Valero,Midfielder,Central Midfield,"Jan 12, 1985 ",39,['Spain'],Spain,Madrid,AM   DM,"1,75",-
,Jordi Gómez,Midfielder,Central Midfield,"May 24, 1985 ",39,['Spain'],Spain,Barcelona,AM   DM,"1,78",-
,Rubén de la Red,Midfielder,Central Midfield,"Jun 5, 1985 ",39,['Spain'],Spain,Móstoles,,"1,86",-
,Joseba Garmendia,Midfielder,Central Midfield,"Oct 4, 1985 ",38,['Spain'],Portugal,Basauri,AM,"1,82",-
,Bruno Herrero,Midfielder,Central Midfield,"Feb 13, 1985 ",39,['Spain'],Portugal,Jerez de la Frontera,,"1,76",-
,Antonio Tomás,Midfielder,Central Midfield,"Jan 13, 1985 ",39,['Spain'],Portugal,Torrelavega,DM,"1,79",-
,Víctor Besada,Midfielder,Central Midfield,"Mar 3, 1985 ",39,['Spain'],Portugal,Porriño,AM,"1,78",-
,Manu García,Midfielder,Central Midfield,"Apr 26, 1986 ",38,['Spain'],Spain,Vitoria-Gasteiz,DM,"1,83",€200k
6,Nacho Matador,Midfielder,Central Midfield,"Sep 11, 1986 ",37,"['Spain', 'Dominican Republic']",Spain,Gijón,,"1,81",€50k
25,Jose Galán,Midfielder,Central Midfield,"Feb 2, 1986 ",38,['Spain'],Spain,León,AM,"1,77",€10k
,Javi Ruiz,Midfielder,Central Midfield,"Jun 4, 1986 ",38,['Spain'],Spain,Murcia,,"1,80",-
,Ayoze Berriel Feo,Midfielder,Central Midfield,"Nov 7, 1986 ",37,['Spain'],Spain,Arrecife,,,-
4,José Luis González,Midfielder,Central Midfield,"Feb 3, 1986 ",38,['Spain'],Spain,Avilés,,,-
,Javier Heredia,Midfielder,Central Midfield,"Sep 7, 1986 ",37,['Spain'],Spain,Sant Boi de Llobregat,,,-
,Mendi,Midfielder,Central Midfield,"Sep 30, 1986 ",37,['Spain'],Spain,Navia,,,-
,David García,Midfielder,Central Midfield,"Jun 19, 1986 ",38,['Spain'],Spain,Barcelona,CB,"1,94",-
,Víctor González,Midfielder,Central Midfield,"Jun 19, 1986 ",38,['Spain'],Spain,Viso del Alcor,CB,,-
,Darío Ruiz,Midfielder,Central Midfield,"Mar 29, 1986 ",38,['Spain'],Spain,Granada,,"1,84",-
,Borja Arrondo,Midfielder,Central Midfield,"May 21, 1986 ",38,['Spain'],Spain,Villafranca,,"1,80",-
,Moncho,Midfielder,Central Midfield,"Mar 14, 1986 ",38,['Spain'],Spain,San Sebastián de los Reyes,,"1,78",-
30,Natxo Insa,Midfielder,Central Midfield,"Jun 9, 1986 ",38,"['Malaysia', 'Spain']",Spain,Cocentaina,DM   AM,"1,77",€75k
8,Chili,Midfielder,Central Midfield,"Nov 1, 1986 ",37,['Spain'],Spain,Sarón,,"1,78",€25k
,Alex Gallardo,Midfielder,Central Midfield,"Apr 18, 1986 ",38,['Spain'],Spain,Navalmoral de la Mata,,"1,83",-
,Julio Alberto,Midfielder,Central Midfield,"Feb 6, 1986 ",38,['Spain'],Spain,Mula,,"1,86",-
3,José Salvador,Midfielder,Central Midfield,"May 3, 1986 ",38,['Andorra'],Spain,Vigo,,N/A,-
,Pedro Gilarte,Midfielder,Central Midfield,"Jan 28, 1986 ",38,['Spain'],Spain,Valverde de la Vera,AM,"1,80",-
,Fernando Liñán,Midfielder,Central Midfield,"Jul 31, 1986 ",38,['Spain'],Spain,Granada,CB,"1,91",-
,José Sánchez,Midfielder,Central Midfield,"Mar 19, 1986 ",38,['Spain'],Spain,San Vicente del Raspeig,,"1,74",-
,Javier Jiménez,Midfielder,Central Midfield,"Nov 15, 1986 ",37,['Spain'],Spain,Pamplona,,"1,79",-
,Manu Rodríguez,Midfielder,Central Midfield,"Oct 19, 1986 ",37,['Spain'],Spain,Moaña,AM,"1,81",-
,Ramiro Barbero,Midfielder,Central Midfield,"Nov 26, 1986 ",37,['Spain'],Spain,Motril,AM,"1,84",-
,Óscar Reche,Midfielder,Central Midfield,"Jul 9, 1986 ",38,['Spain'],Spain,Alcañiz,,,-
,Jairo Domingo,Midfielder,Central Midfield,"Aug 18, 1986 ",38,['Spain'],Spain,Turégano,AM,"1,70",-
,Fran Hernández,Midfielder,Central Midfield,"Jan 8, 1986 ",38,['Spain'],Spain,La Seu d'Urgell,,,-
,Alex Ventura,Midfielder,Central Midfield,"Jul 28, 1986 ",38,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,74",-
21,Ayoze Pérez,Midfielder,Central Midfield,"Oct 2, 1986 ",37,['Spain'],Spain,Arrecife,,"1,72",-
,Ortega,Midfielder,Central Midfield,"Nov 20, 1986 ",37,['Spain'],Spain,Roquetas de Mar,,,-
,Javier Vázquez,Midfielder,Central Midfield,"Jul 10, 1986 ",38,['Spain'],Spain,Madrid,,"1,80",-
,Álex Vaquero,Midfielder,Central Midfield,"Mar 14, 1986 ",38,['Spain'],Spain,Madrid,AM,"1,73",-
,Gerrit Stoeten,Midfielder,Central Midfield,"Apr 10, 1986 ",38,"['Spain', 'Netherlands']",Spain,Torremolinos,,"1,88",-
,Gonzalo García,Midfielder,Central Midfield,"Feb 25, 1986 ",38,['Spain'],Spain,A Coruña,,"1,75",-
,Ernesto García,Midfielder,Central Midfield,"Jan 23, 1986 ",38,['Spain'],Spain,Palma de Mallorca,DM,"1,76",-
,Pepe Aicart,Midfielder,Central Midfield,"Oct 17, 1986 ",37,['Spain'],Spain,Madrid,,"1,83",-
10,Vicky,Midfielder,Central Midfield,"Jun 17, 1986 ",38,['Spain'],Spain,Santander,,"1,76",-
,Marc Martínez,Midfielder,Central Midfield,"Apr 11, 1986 ",38,['Spain'],Spain,Navarcles,AM,"1,70",-
,Iosu Etxebarria,Midfielder,Central Midfield,"Feb 2, 1986 ",38,['Spain'],Spain,Arrasate,,,-
,Fleky,Midfielder,Central Midfield,"Apr 23, 1986 ",38,['Spain'],Spain,Orihuela,,"1,75",-
,Rayco González,Midfielder,Central Midfield,"Jun 1, 1986 ",38,['Spain'],Spain,Santa Cruz de Tenerife,,,-
,Rafa García,Midfielder,Central Midfield,"Jan 14, 1986 ",38,['Spain'],Spain,Ciudad Real,,"1,90",-
10,Javi Pérez,Midfielder,Central Midfield,"Jan 27, 1986 ",38,['Spain'],Spain,Córdoba,AM,"1,80",-
,David Cornellà,Midfielder,Central Midfield,"May 29, 1986 ",38,['Spain'],Spain,Girona,,"1,80",-
,Sergio Martínez,Midfielder,Central Midfield,"Sep 9, 1986 ",37,['Spain'],Spain,Madrid,,"1,71",-
,Vicente Pagán,Midfielder,Central Midfield,"Jul 18, 1986 ",38,['Spain'],Spain,Cartagena,,"1,76",-
,Adrià Granell,Midfielder,Central Midfield,"May 13, 1986 ",38,['Spain'],Spain,Valencia,LW,"1,69",-
,Javi Márquez,Midfielder,Central Midfield,"May 11, 1986 ",38,['Spain'],Spain,Barcelona,AM   DM,"1,79",-
,Juanje,Midfielder,Central Midfield,"Nov 30, 1986 ",37,['Spain'],Spain,Córdoba,AM,"1,80",-
,Iker Izeta,Midfielder,Central Midfield,"Feb 15, 1986 ",38,['Spain'],Spain,Donostia-San Sebastián,,N/A,-
,Ion Zubillaga,Midfielder,Central Midfield,"Aug 7, 1986 ",38,['Spain'],Spain,Donostia-San Sebastián,,"1,78",-
,Fran Cortés,Midfielder,Central Midfield,"Feb 4, 1986 ",38,['Spain'],Spain,Cádiz,,"1,73",-
,Álex Quillo,Midfielder,Central Midfield,"Oct 7, 1986 ",37,['Spain'],Spain,La Línea de la Concepción,DM   AM,"1,82",-
,Ion Erice,Midfielder,Central Midfield,"Nov 3, 1986 ",37,['Spain'],Spain,Pamplona,,"1,77",-
,Jonathan Vila,Midfielder,Central Midfield,"Mar 6, 1986 ",38,['Spain'],Spain,Porriño,CB,"1,86",-
,Verza,Midfielder,Central Midfield,"Sep 29, 1986 ",37,['Spain'],Spain,Orihuela,DM,"1,81",-
,David Pérez,Midfielder,Central Midfield,"Aug 1, 1986 ",38,['Spain'],Portugal,Zaragoza,AM,"1,86",-
,Dani Peláez,Midfielder,Central Midfield,"Apr 4, 1986 ",38,['Spain'],Portugal,Gijón,,"1,78",-
,David Vázquez,Midfielder,Central Midfield,"Mar 21, 1986 ",38,['Spain'],Portugal,Madrid,,"1,79",-
,Ángel Martínez,Midfielder,Central Midfield,"Jan 31, 1986 ",38,['Spain'],Portugal,Girona,AM,"1,77",-
,Miguel Pallardó,Midfielder,Central Midfield,"Sep 5, 1986 ",37,['Spain'],Portugal,Alaquàs,,"1,74",-
,Lluis Sastre,Midfielder,Central Midfield,"Mar 26, 1986 ",38,['Spain'],Portugal,Binissalem,DM,"1,74",-
,Miguel Núñez,Midfielder,Central Midfield,"Jun 4, 1987 ",37,['Spain'],Spain,Siruela,CB,"1,80",€100k
,Jagoba Beobide,Midfielder,Central Midfield,"Feb 19, 1987 ",37,['Spain'],Spain,Azpeitia,,"1,77",€50k
20,Rúper,Midfielder,Central Midfield,"Jun 4, 1987 ",37,['Spain'],Spain,Ayegui,,"1,82",€50k
11,Alberto Lora,Midfielder,Central Midfield,"Mar 25, 1987 ",37,['Spain'],Spain,Móstoles,RB,"1,64",€50k
10,Toni Romero,Midfielder,Central Midfield,"Sep 16, 1987 ",36,['Spain'],Spain,Beas de Segura,AM,,-
,Álvarito García,Midfielder,Central Midfield,"Mar 6, 1987 ",37,['Spain'],Spain,Algeciras,,"1,80",-
18,Jorge Castander,Midfielder,Central Midfield,"Mar 5, 1987 ",37,['Spain'],Spain,Puertollano,RB,"1,76",-
