Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Nationality 3,Position 2,Position 3
1.0,Biel Ribas,Goalkeeper,"Dec 2, 1985 ",38,Spain,Spain,Palma de Mallorca,,"1,86",,,Spain,,,,
13.0,Roberto Santamaría,Goalkeeper,"Feb 27, 1985 ",39,Spain,Spain,Pamplona,,"1,83",,,Spain,,,,
,Miguel Ángel Ávila,Goalkeeper,"Apr 18, 1985 ",39,Spain,Spain,Torremolinos,,"1,82",,,Spain,,,,
,Francisco Javier Rosales Simón,Goalkeeper,"Dec 9, 1985 ",38,Spain,Spain,La Linea de la Conceocion,,"1,80",,,Spain,,,,
,Francisco Asta,Goalkeeper,"Nov 4, 1985 ",38,Spain,Spain,Almeria,,"1,83",,,Spain,,,,
,Marcos Contreras,Goalkeeper,"Aug 16, 1985 ",38,Spain,Spain,Sevilla,,"1,83",,,Spain,,,,
,Miguel Ángel Trenado,Goalkeeper,"Jun 9, 1985 ",39,Spain,Spain,Madrid,,"1,85",,,Spain,,,,
,Guillermo Ubierna,Goalkeeper,"Feb 27, 1985 ",39,Spain,Spain,Alcobendas,,"1,90",,,Spain,,,,
,Pablo Gómez,Goalkeeper,"Sep 20, 1985 ",38,Spain,Spain,Potes,,"1,83",,,Spain,,,,
,Roberto Cirauqui,Goalkeeper,"May 15, 1985 ",39,Spain,Spain,Funes,,"1,86",,,Spain,,,,
,Dani Castro,Goalkeeper,"Sep 24, 1985 ",38,Spain,Spain,Gijon,,"1,88",,,Spain,,,,
,Raúl Sáez,Goalkeeper,"Aug 20, 1985 ",38,Spain,Spain,La Pobla de Mafumet,,,,,Spain,,,,
,Jon Juanes,Goalkeeper,"Jan 16, 1985 ",39,Spain,Spain,Barakaldo,,"1,87",,,Spain,,,,
13.0,Francisco Dorronsoro,Goalkeeper,"May 22, 1985 ",39,Spain,Spain,Torrelavega,,"1,80",,,Spain,,,,
1.0,Jonay Quintana,Goalkeeper,"Nov 27, 1985 ",38,Spain,Spain,Las Palmas de Gran Canaria,,,,,Spain,,,,
,David Larumbe,Goalkeeper,"Jan 31, 1985 ",39,Spain,Spain,Pamplona,,,,,Spain,,,,
,Imanol Pérez,Goalkeeper,"Jun 1, 1985 ",39,Spain,Spain,Errenteria,,"1,85",,,Spain,,,,
,Chato,Goalkeeper,"Jan 4, 1985 ",39,Spain,Spain,Tomelloso,,,,,Spain,,,,
1.0,Manolo Delgado,Goalkeeper,"May 21, 1985 ",39,Spain,Spain,Manzanares,,"1,85",,,Spain,,,,
,Josué Castells,Goalkeeper,"Jan 9, 1985 ",39,"Peru, Spain",Spain,Barcelona,,,,,Peru, Spain,,,
,Chele,Goalkeeper,"Mar 26, 1985 ",39,Spain,Spain,Madrid,,"1,80",,,Spain,,,,
