Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
21,Alberto Zapater,Midfielder,Defensive Midfield,"Jun 13, 1985 ",39,['Spain'],Spain,Ejea de los Caballeros,CM,"1,80",€50k
,Ramón Suárez,Midfielder,Defensive Midfield,"Apr 2, 1985 ",39,['Spain'],Spain,,CB,,-
,Rubén González,Midfielder,Defensive Midfield,"Aug 1, 1985 ",38,['Spain'],Spain,Oviedo,CB,"1,77",-
,Juan Aguilera,Midfielder,Defensive Midfield,"Sep 13, 1985 ",38,['Spain'],Spain,Madrid,CM   CB,"1,85",-
,Oinatz Bilbao,Midfielder,Defensive Midfield,"Aug 25, 1985 ",38,['Spain'],Spain,Bilbao,CB   CM,"1,86",-
,Alfredo Medina,Midfielder,Defensive Midfield,"Aug 25, 1985 ",38,['Spain'],Portugal,La Linea de la Concepción,,"1,82",-
,Unai Calvo,Midfielder,Defensive Midfield,"May 12, 1985 ",39,['Spain'],Portugal,Bilbao,CB,"1,80",-
,Emilio Ortega,Midfielder,Defensive Midfield,"Jul 7, 1985 ",39,['Germany'],Portugal,,CB,N/A,-
,Álex Bergantiños,Midfielder,Defensive Midfield,"Jun 7, 1985 ",39,['Spain'],Portugal,A Coruña,CM   CB,"1,76",-
,Ismael Fernández,Midfielder,Defensive Midfield,"Oct 13, 1986 ",37,['Spain'],Spain,La Linea de la Concepcion,CB,"1,79",-
,Jano Velasco,Midfielder,Defensive Midfield,"Dec 23, 1986 ",37,['Spain'],Spain,Madrid,CM,"1,88",-
,Xavi Torres,Midfielder,Defensive Midfield,"Nov 21, 1986 ",37,['Spain'],Spain,Xàbia,CM   CB,"1,79",-
,Antonio Vera,Midfielder,Defensive Midfield,"Oct 11, 1986 ",37,['Spain'],Spain,Sevilla,,"1,77",-
,Pablo de Lucas,Midfielder,Defensive Midfield,"Sep 20, 1986 ",37,['Spain'],Spain,Elche,CM,"1,80",-
,Marcos Tébar,Midfielder,Defensive Midfield,"Feb 7, 1986 ",38,['Spain'],Spain,Madrid,,"1,85",-
,Jose Álvarez,Midfielder,Defensive Midfield,"Nov 25, 1986 ",37,['Spain'],Portugal,Valencia,CM   AM,"1,82",-
,Raúl Manasé,Midfielder,Defensive Midfield,"Jan 19, 1986 ",38,['Spain'],Portugal,Salamanca,CM,"1,82",-
,Manu Hervás,Midfielder,Defensive Midfield,"Jun 6, 1986 ",38,['Spain'],Portugal,Madrid,CB   CM,"1,85",-
,Oier Sanjurjo,Midfielder,Defensive Midfield,"May 25, 1986 ",38,['Spain'],Portugal,Estella-Lizarra,CB   RB,"1,78",-
,Markel Bergara,Midfielder,Defensive Midfield,"May 5, 1986 ",38,['Spain'],Portugal,Elgoibar,CM,"1,81",-
,Juande Prados,Midfielder,Defensive Midfield,"Aug 12, 1986 ",37,['Spain'],Portugal,Alicante,CM,"1,83",-
,José Mari,Midfielder,Defensive Midfield,"Dec 6, 1987 ",36,['Spain'],Spain,Rota (Cádiz),CM,"1,82",€200k
27,Marcos Gondra,Midfielder,Defensive Midfield,"Jan 1, 1987 ",37,['Spain'],Spain,Mundaka,CB   CM,"1,87",€100k
21,Fernando Galvez,Midfielder,Defensive Midfield,"May 16, 1987 ",37,['Spain'],Spain,Murcia,CM,"1,86",-
,Javi Lorente,Midfielder,Defensive Midfield,"May 30, 1987 ",37,['Spain'],Spain,Madrid,RB   CB,"1,78",-
,Gorka Elustondo,Midfielder,Defensive Midfield,"Mar 18, 1987 ",37,['Spain'],Spain,Beasain,CB,"1,84",-
,Javi García,Midfielder,Defensive Midfield,"Feb 8, 1987 ",37,['Spain'],Spain,Mula,CB,"1,87",-
8,Isaías Sánchez,Midfielder,Defensive Midfield,"Feb 9, 1987 ",37,"['Spain', 'Australia']",Portugal,Sabadell,CM   CB,"1,76",€175k
,José Alberto Cañas,Midfielder,Defensive Midfield,"May 27, 1987 ",37,['Spain'],Portugal,Rota,CM,"1,78",€50k
,Iván Moya,Midfielder,Defensive Midfield,"Sep 16, 1987 ",36,['Spain'],Portugal,Montejaque,CM   CB,"1,80",-
,Xavi García,Midfielder,Defensive Midfield,"Aug 21, 1987 ",36,['Spain'],Portugal,Barcelona,,,-
,Mario Suárez,Midfielder,Defensive Midfield,"Feb 24, 1987 ",37,['Spain'],Portugal,Alcobendas,CM   CB,"1,89",-
5,Sergio Busquets,Midfielder,Defensive Midfield,"Jul 16, 1988 ",36,['Spain'],Spain,Badia del Vallès,,"1,89",€2.00m
,Vicente Iborra,Midfielder,Defensive Midfield,"Jan 16, 1988 ",36,['Spain'],Spain,Moncada,CM   AM,"1,90",€300k
6,Manuel Sánchez,Midfielder,Defensive Midfield,"Sep 13, 1988 ",35,['Spain'],Spain,Córdoba,CM,"1,85",€75k
5,Domingo,Midfielder,Defensive Midfield,"Oct 26, 1988 ",35,['Spain'],Spain,La Linea de la Concepción,CM,,€10k
,José Zamora,Midfielder,Defensive Midfield,"Aug 20, 1988 ",35,['Spain'],Spain,Barcelona,LM   RM,"1,70",-
8,Javi Martínez,Midfielder,Defensive Midfield,"Sep 2, 1988 ",35,['Spain'],Portugal,Estella-Lizarra,CB,"1,89",€1.20m
6,Álex Granell,Midfielder,Defensive Midfield,"Aug 2, 1988 ",35,['Spain'],Portugal,Girona,CM   LM,"1,81",€150k
,Cristian Pecci,Midfielder,Defensive Midfield,"May 10, 1988 ",36,['Spain'],Portugal,Chiclana de la Frontera,CM   CB,"1,77",€50k
,Vicente Gómez,Midfielder,Defensive Midfield,"Aug 31, 1988 ",35,['Spain'],Portugal,Las Palmas de Gran Canaria,CM   AM,"1,87",-
,Marc Crosas,Midfielder,Defensive Midfield,"Jan 9, 1988 ",36,"['Spain', 'Mexico']",Portugal,Sant Feliu de Guíxols,CM,"1,77",-
4,Rubén Pérez,Midfielder,Defensive Midfield,"Apr 26, 1989 ",35,['Spain'],Spain,Écija,CM,"1,78",€600k
4,Rodri,Midfielder,Defensive Midfield,"Feb 9, 1989 ",35,['Spain'],Spain,Orihuela,,"1,87",€100k
,Jon Ander Garrido,Midfielder,Defensive Midfield,"Oct 9, 1989 ",34,['Spain'],Spain,Bilbao,CM,"1,85",-
,Mikel San José,Midfielder,Defensive Midfield,"May 30, 1989 ",35,['Spain'],Spain,Pamplona,CB,"1,87",-
24,David Timor,Midfielder,Defensive Midfield,"Oct 17, 1989 ",34,['Spain'],Portugal,Carcaixent,CM   CB,"1,85",€400k
,Sergio Martín,Midfielder,Defensive Midfield,"May 8, 1989 ",35,['Spain'],Portugal,Maracena,CM,"1,76",-
,Ander Iturraspe,Midfielder,Defensive Midfield,"Mar 8, 1989 ",35,['Spain'],Portugal,Abadiño,CM,"1,87",-
14,Asier Illarramendi,Midfielder,Defensive Midfield,"Mar 8, 1990 ",34,['Spain'],Spain,Mutriku,CM,"1,79",€1.20m
8,Francisco Moreno,Midfielder,Defensive Midfield,"Sep 18, 1990 ",33,['Spain'],Spain,La Linea de la Concepción,CM,"1,68",€25k
,Samu,Midfielder,Defensive Midfield,"Dec 23, 1990 ",33,['Spain'],Spain,Estepona,,"1,73",-
6,Ilie Sánchez,Midfielder,Defensive Midfield,"Nov 21, 1990 ",33,"['Spain', 'United States']",Portugal,Barcelona,CM   CB,"1,82",€600k
,Borja Gil,Midfielder,Defensive Midfield,"Dec 4, 1990 ",33,['Spain'],Portugal,Ceuta,CM   AM,"1,76",-
,Ignacio Camacho,Midfielder,Defensive Midfield,"May 4, 1990 ",34,['Spain'],Portugal,Zaragoza,CM   CB,N/A,-
18,Oriol Romeu,Midfielder,Defensive Midfield,"Sep 24, 1991 ",32,['Spain'],Spain,Ulldecona,CM,"1,83",€2.00m
,Dani Pacheco,Midfielder,Defensive Midfield,"Jan 5, 1991 ",33,['Spain'],Spain,Málaga,AM,"1,68",€250k
23,Joe,Midfielder,Defensive Midfield,"Feb 6, 1991 ",33,['Spain'],Spain,La Línea de la Concepción,CB   CM,"1,83",€100k
,Samir Nassar Jonbeili,Midfielder,Defensive Midfield,"Jun 26, 1991 ",33,"['Venezuela', 'Spain']",Spain,Valencia,LM,"1,84",-
,Xavi Guaita,Midfielder,Defensive Midfield,"Nov 1, 1991 ",32,['Spain'],Spain,Reus,LB   CB,,-
,Álvaro Peña,Midfielder,Defensive Midfield,"Oct 24, 1991 ",32,['Spain'],Portugal,Bilbao,AM   CM,"1,79",€400k
,José Luis Valiente,Midfielder,Defensive Midfield,"May 18, 1991 ",33,['Spain'],Portugal,Alzira,CB   LM,"1,84",€125k
4,Alejandro Zambrano,Midfielder,Defensive Midfield,"Aug 4, 1991 ",32,['Spain'],Portugal,Huelva,CM,"1,84",€75k
,José Alberto Durán,Midfielder,Defensive Midfield,"Nov 26, 1991 ",32,['Spain'],Portugal,La Línea de la Concepción,CM,,-
