Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions
1.0,Biel Ribas,Goalkeeper,"Dec 2, 1985 ",38,['Spain'],Spain,Palma de Mallorca,,"1,86",,
13.0,Roberto Santamaría,Goalkeeper,"Feb 27, 1985 ",39,['Spain'],Spain,Pamplona,,"1,83",,
,Miguel Ángel Ávila,Goalkeeper,"Apr 18, 1985 ",39,['Spain'],Spain,Torremolinos,,"1,82",,
,Francisco Javier Rosales Simón,Goalkeeper,"Dec 9, 1985 ",38,['Spain'],Spain,La Linea de la Conceocion,,"1,80",,
,Francisco Asta,Goalkeeper,"Nov 4, 1985 ",38,['Spain'],Spain,Almería,,"1,83",,
,Marcos Contreras,Goalkeeper,"Aug 16, 1985 ",38,['Spain'],Spain,Sevilla,,"1,83",,
,Miguel Ángel Trenado,Goalkeeper,"Jun 9, 1985 ",39,['Spain'],Spain,Madrid,,"1,85",,
,Guillermo Ubierna,Goalkeeper,"Feb 27, 1985 ",39,['Spain'],Spain,Alcobendas,,"1,90",,
,Pablo Gómez,Goalkeeper,"Sep 20, 1985 ",38,['Spain'],Spain,Potes,,"1,83",,
,Roberto Cirauqui,Goalkeeper,"May 15, 1985 ",39,['Spain'],Spain,Funes,,"1,86",,
,Dani Castro,Goalkeeper,"Sep 24, 1985 ",38,['Spain'],Spain,Gijón,,"1,88",,
,Raúl Sáez,Goalkeeper,"Aug 20, 1985 ",38,['Spain'],Spain,La Pobla de Mafumet,,,,
,Jon Juanes,Goalkeeper,"Jan 16, 1985 ",39,['Spain'],Spain,Barakaldo,,"1,87",,
13.0,Francisco Dorronsoro,Goalkeeper,"May 22, 1985 ",39,['Spain'],Spain,Torrelavega,,"1,80",,
1.0,Jonay Quintana,Goalkeeper,"Nov 27, 1985 ",38,['Spain'],Spain,Las Palmas de Gran Canaria,,,,
,David Larumbe,Goalkeeper,"Jan 31, 1985 ",39,['Spain'],Spain,Pamplona,,,,
,Imanol Pérez,Goalkeeper,"Jun 1, 1985 ",39,['Spain'],Spain,Errenteria,,"1,85",,
,Chato,Goalkeeper,"Jan 4, 1985 ",39,['Spain'],Spain,Tomelloso,,,,
1.0,Manolo Delgado,Goalkeeper,"May 21, 1985 ",39,['Spain'],Spain,Manzanares,,"1,85",,
,Josué Castells,Goalkeeper,"Jan 9, 1985 ",39,"['Peru', 'Spain']",Spain,Barcelona,,,,
,Chele,Goalkeeper,"Mar 26, 1985 ",39,['Spain'],Spain,Madrid,,"1,80",,
,Roberto Román,Goalkeeper,"Jul 4, 1985 ",39,['Spain'],Spain,Cáceres,,"1,89",,
,Carlos Saavedra,Goalkeeper,"May 3, 1985 ",39,['Spain'],Spain,Madrid,,"1,87",,
,Oier San Miguel,Goalkeeper,"Jan 20, 1985 ",39,['Spain'],Spain,Ondarroa,,"1,87",,
,David Alemán,Goalkeeper,"Feb 7, 1985 ",39,['Spain'],Spain,Pájara,,"1,74",,
13.0,Nauzet Pérez,Goalkeeper,"Mar 1, 1985 ",39,['Spain'],Portugal,Las Palmas de Gran Canaria,,"1,90",,
,José Manuel Camacho,Goalkeeper,"Jul 9, 1985 ",39,['Spain'],Portugal,Jerez de la Frontera,,"1,82",,
