Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value
1,Biel Ribas,Goalkeeper,"Dec 2, 1985 ",38,['Spain'],Spain,Palma de Mallorca,,"1,86"
13,Roberto Santamaría,Goalkeeper,"Feb 27, 1985 ",39,['Spain'],Spain,Pamplona,,"1,83"
,Miguel Ángel Ávila,Goalkeeper,"Apr 18, 1985 ",39,['Spain'],Spain,Torremolinos,,"1,82"
,Francisco Javier Rosales Simón,Goalkeeper,"Dec 9, 1985 ",38,['Spain'],Spain,La Linea de la Conceocion,,"1,80"
,Francisco Asta,Goalkeeper,"Nov 4, 1985 ",38,['Spain'],Spain,Almería,,"1,83"
,Marcos Contreras,Goalkeeper,"Aug 16, 1985 ",38,['Spain'],Spain,Sevilla,,"1,83"
,Miguel Ángel Trenado,Goalkeeper,"Jun 9, 1985 ",39,['Spain'],Spain,Madrid,,"1,85"
,Guillermo Ubierna,Goalkeeper,"Feb 27, 1985 ",39,['Spain'],Spain,Alcobendas,,"1,90"
,Pablo Gómez,Goalkeeper,"Sep 20, 1985 ",38,['Spain'],Spain,Potes,,"1,83"
,Roberto Cirauqui,Goalkeeper,"May 15, 1985 ",39,['Spain'],Spain,Funes,,"1,86"
,Dani Castro,Goalkeeper,"Sep 24, 1985 ",38,['Spain'],Spain,Gijón,,"1,88"
,Raúl Sáez,Goalkeeper,"Aug 20, 1985 ",38,['Spain'],Spain,La Pobla de Mafumet,,
,Jon Juanes,Goalkeeper,"Jan 16, 1985 ",39,['Spain'],Spain,Barakaldo,,"1,87"
13,Francisco Dorronsoro,Goalkeeper,"May 22, 1985 ",39,['Spain'],Spain,Torrelavega,,"1,80"
1,Jonay Quintana,Goalkeeper,"Nov 27, 1985 ",38,['Spain'],Spain,Las Palmas de Gran Canaria,,
,David Larumbe,Goalkeeper,"Jan 31, 1985 ",39,['Spain'],Spain,Pamplona,,
,Imanol Pérez,Goalkeeper,"Jun 1, 1985 ",39,['Spain'],Spain,Errenteria,,"1,85"
,Chato,Goalkeeper,"Jan 4, 1985 ",39,['Spain'],Spain,Tomelloso,,
1,Manolo Delgado,Goalkeeper,"May 21, 1985 ",39,['Spain'],Spain,Manzanares,,"1,85"
,Josué Castells,Goalkeeper,"Jan 9, 1985 ",39,"['Peru', 'Spain']",Spain,Barcelona,,
,Chele,Goalkeeper,"Mar 26, 1985 ",39,['Spain'],Spain,Madrid,,"1,80"
,Roberto Román,Goalkeeper,"Jul 4, 1985 ",39,['Spain'],Spain,Cáceres,,"1,89"
,Carlos Saavedra,Goalkeeper,"May 3, 1985 ",39,['Spain'],Spain,Madrid,,"1,87"
,Oier San Miguel,Goalkeeper,"Jan 20, 1985 ",39,['Spain'],Spain,Ondarroa,,"1,87"
,David Alemán,Goalkeeper,"Feb 7, 1985 ",39,['Spain'],Spain,Pájara,,"1,74"
13,Nauzet Pérez,Goalkeeper,"Mar 1, 1985 ",39,['Spain'],Portugal,Las Palmas de Gran Canaria,,"1,90"
,José Manuel Camacho,Goalkeeper,"Jul 9, 1985 ",39,['Spain'],Portugal,Jerez de la Frontera,,"1,82"
,Ariza,Goalkeeper,"Apr 1, 1985 ",39,['Spain'],Portugal,Málaga,,"1,82"
,Juan Manuel Torrente,Goalkeeper,"Jun 1, 1985 ",39,['Spain'],Portugal,Puerto Lumbreras,,"1,85"
,Alberto García,Goalkeeper,"Feb 9, 1985 ",39,['Spain'],Portugal,Barcelona,,"1,82"
,David Montero,Goalkeeper,"Mar 12, 1985 ",39,['Spain'],Portugal,Salamanca,,"1,81"
,Aitor Alcalde,Goalkeeper,"May 22, 1985 ",39,['Spain'],Portugal,Erandio,,"1,86"
,Alberto Montero,Goalkeeper,"Mar 28, 1985 ",39,['Spain'],Portugal,Barcelona,,"1,86"
,Sergio López,Goalkeeper,"Oct 29, 1985 ",38,['Spain'],Portugal,Santander,,"1,85"
,Manel Arroyo,Goalkeeper,"Feb 21, 1985 ",39,['Spain'],Portugal,Madrid,,"1,86"
,Jorge Larrosa,Goalkeeper,"Dec 16, 1985 ",38,['Spain'],Portugal,Huesca,,"1,81"
,Darío Fernández,Goalkeeper,"Jun 16, 1985 ",39,['Spain'],Portugal,Granada,,"1,82"
,Dani,Goalkeeper,"Apr 23, 1985 ",39,['Spain'],Portugal,Cádiz,,"1,80"
,Óliver Moreno,Goalkeeper,"May 23, 1985 ",39,['Spain'],Portugal,Gáldar,,"1,85"
,Manolo Reina,Goalkeeper,"Apr 1, 1985 ",39,['Spain'],Portugal,Villanueva del Trabuco,,"1,86"
13,Andrés Fernández,Goalkeeper,"Dec 16, 1986 ",37,['Spain'],Spain,Alcantarilla,,"1,85"
1,Jon Irazusta,Goalkeeper,"Apr 30, 1986 ",38,['Spain'],Spain,Usúrbil,,"1,84"
,David Armengol,Goalkeeper,"Jun 13, 1986 ",38,['Spain'],Spain,Oviedo,,"1,82"
1,David Cortegoso,Goalkeeper,"Oct 9, 1986 ",37,['Spain'],Spain,Redondela,,
