Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
15,Guaya,Defender,Left-Back,"Aug 7, 1985 ",38,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,72",€25k
3,Jorge Canelo,Defender,Left-Back,"Jan 1, 1985 ",39,['Spain'],Spain,Malpartida de Plasencia,CB,,-
,Richard,Defender,Left-Back,"Jun 23, 1985 ",39,['Spain'],Spain,Alcalá de Henares,,,-
,Valentín Merchán,Defender,Left-Back,"May 26, 1985 ",39,['Spain'],Spain,Martorell,CB,"1,80",-
16,Koke,Defender,Left-Back,"Feb 18, 1985 ",39,['Spain'],Spain,Madrid,,"1,76",-
,Iray Barreto,Defender,Left-Back,"Mar 29, 1985 ",39,['Spain'],Spain,Los Llanos de Aridane,LW,"1,79",-
,Manu Blanco,Defender,Left-Back,"Dec 18, 1985 ",38,['Spain'],Spain,Avilés,,"1,74",-
,Iván Boniquet,Defender,Left-Back,"Jul 17, 1985 ",38,['Spain'],Spain,Terrassa,,"1,77",-
,Cedric Martin Lorite,Defender,Left-Back,"Nov 17, 1985 ",38,"['Belgium', 'Spain']",Spain,,,,-
,Samuel Álvarez,Defender,Left-Back,"Oct 17, 1985 ",38,['Spain'],Spain,Avilés,,"1,71",-
,Ion Txoperena,Defender,Left-Back,"Feb 5, 1985 ",39,['Spain'],Spain,Donostia-San Sebastián,,"1,68",-
,Pedro Galera,Defender,Left-Back,"Jan 18, 1985 ",39,['Spain'],Spain,Albox,,"1,80",-
,Toni Sánchez,Defender,Left-Back,"Feb 7, 1985 ",39,['Spain'],Spain,Barcelona,LW,"1,72",-
6,Machote,Defender,Left-Back,"Jan 22, 1985 ",39,['Spain'],Portugal,Calatayud,,"1,74",€25k
,Jorge Suárez,Defender,Left-Back,"Oct 23, 1985 ",38,['Spain'],Portugal,Tolivia,LW,,-
,Álvaro Herrero,Defender,Left-Back,"Sep 4, 1985 ",38,['Spain'],Portugal,Madrid,LW,,-
,Josué Esteban,Defender,Left-Back,"Feb 24, 1985 ",39,['Spain'],Portugal,Soria,,"1,77",-
