Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Albert Mercadé,Midfielder,Left Midfield,"Jan 23, 1985 ",39,['Spain'],Spain,,LB   LW,"1,71",-
,Lucas,Midfielder,Left Midfield,"Jul 1, 1985 ",39,['Spain'],Spain,Conil,,"1,76",-
,Javi Ramos,Midfielder,Left Midfield,"Mar 23, 1985 ",39,['Spain'],Portugal,Badajoz,,"1,72",-
,Ernesto Gómez,Midfielder,Left Midfield,"Apr 26, 1985 ",39,['Spain'],Portugal,Madrid,,"1,78",-
,Óscar Jiménez,Midfielder,Left Midfield,"Sep 17, 1986 ",37,['Spain'],Spain,Guadalajara,RM,,-
,Álvaro Moreno Ruiz,Midfielder,Left Midfield,"Jul 28, 1987 ",36,['Spain'],Spain,La Linea de la Concepción,,,-
,Dani Fernández,Midfielder,Left Midfield,"Jan 29, 1987 ",37,['Spain'],Spain,Alcoy,LB,"1,77",-
,Giovani,Midfielder,Left Midfield,"Jan 6, 1987 ",37,['Spain'],Portugal,Algeciras,LB,"1,85",-
,Xabier Eizagirre,Midfielder,Left Midfield,"Jan 25, 1987 ",37,['Spain'],Portugal,Mutriku,RM,"1,88",-
11,Juan Gómez,Midfielder,Left Midfield,"Feb 15, 1988 ",36,['Spain'],Spain,Aznalcazar,LW,"1,76",-
,Lucky,Midfielder,Left Midfield,"Feb 17, 1988 ",36,['Spain'],Spain,Mula,,"1,74",-
,Hugo Reguero,Midfielder,Left Midfield,"Oct 18, 1988 ",35,['Spain'],Portugal,Avilés,LW,"1,82",-
,Samuel Sánchez,Midfielder,Left Midfield,"Apr 3, 1988 ",36,['Spain'],Portugal,Málaga,,"1,81",-
,Armando Hernández,Midfielder,Left Midfield,"Dec 30, 1989 ",34,['Spain'],Spain,San Roque,,,-
,Álvaro Iglesias,Midfielder,Left Midfield,"Nov 2, 1989 ",34,['Spain'],Portugal,Logroño,,,-
,Victor Muñoz,Midfielder,Left Midfield,"Jul 25, 1990 ",33,['Spain'],Spain,Madrid,,"1,70",-
,Alberto Jiménez,Midfielder,Left Midfield,"May 19, 1991 ",33,['Spain'],Spain,Fuengirola,,,-
,Aarón Aguado,Midfielder,Left Midfield,"Jan 4, 1992 ",32,['Spain'],Spain,Zamora,,"1,68",-
,Juanmi,Midfielder,Left Midfield,"Nov 29, 1992 ",31,['Spain'],Portugal,Hervás,,"1,75",-
,Daniel Ceballo Sanchez,Midfielder,Left Midfield,"Aug 13, 1995 ",28,['Spain'],Spain,La Línea de la Concepción,LW,"1,78",-
,Míguel Laborda,Midfielder,Left Midfield,"Feb 18, 1995 ",29,['Spain'],Spain,Tíjola,,"1,81",-
,Yusifu Ceesay,Midfielder,Left Midfield,"Mar 21, 1995 ",29,"['The Gambia', 'Spain']",Portugal,Barcelona,LW   CF,"1,88",-
,Eusebio,Midfielder,Left Midfield,"Mar 10, 1995 ",29,['Spain'],Portugal,La Línea de la Concepción,CM,,-
,Robert Skov,Midfielder,Left Midfield,"May 20, 1996 ",28,['Denmark'],Spain,Marbella,RW   RM,"1,85",€5.00m
,Adri Crespo,Midfielder,Left Midfield,"Nov 12, 1997 ",26,['Spain'],Spain,Valencia,LW   LB,"1,72",-
,Adrián Guerrero,Midfielder,Left Midfield,"Jan 28, 1998 ",26,['Spain'],Spain,Blanes,LB,"1,74",€800k
21,Jorge González,Midfielder,Left Midfield,"Oct 29, 1998 ",25,['Spain'],Portugal,Valencia,LW   AM,"1,80",€175k
,Pau Servat,Midfielder,Left Midfield,"Feb 10, 2003 ",21,['Spain'],Spain,Sant Pere de Ribes,CM,,€50k
,Renato Bengo,Midfielder,Left Midfield,"Jun 25, 2003 ",21,"['Equatorial Guinea', 'Spain']",Portugal,Valencia,RM,,-
,Oliver Rojas,Midfielder,Left Midfield,"Mar 1, 2004 ",20,"['Spain', 'Venezuela']",Spain,Santa Cruz de Tenerife,,,-
,Antonio Cortés,Midfielder,Left Midfield,"Jan 1, 2005 ",19,['Spain'],Spain,Granada,,,-
,Marcos Alias,Midfielder,Left Midfield,"May 28, 2005 ",19,['Spain'],Portugal,Málaga,,"1,80",-
