Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Yosef Hamed,Striker,Left Winger,"Jul 4, 1985 ",39,"['Spain', 'Morocco']",Spain,Melilla,,,-
,Jaime Bauza,Striker,Left Winger,"May 15, 1985 ",39,['Spain'],Spain,Palma de Mallorca,RB   LB,"1,72",-
,Sergi Masqué,Striker,Left Winger,"Aug 5, 1985 ",39,['Spain'],Spain,Reus,CF   RW,"1,82",-
,Alain Barrón,Striker,Left Winger,"Nov 18, 1985 ",38,['Spain'],Spain,Vitoria-Gasteiz,RW   AM,"1,76",-
,Bubú,Striker,Left Winger,"Aug 11, 1985 ",39,['Spain'],Spain,Santander,LB,"1,75",-
,Toni Coll,Striker,Left Winger,"Jan 23, 1985 ",39,['Spain'],Spain,Lloseta,,"1,71",-
,Antonio Castells,Striker,Left Winger,"Jun 19, 1985 ",39,['Spain'],Spain,Elche,,"1,73",-
,Joan Tomás,Striker,Left Winger,"May 17, 1985 ",39,['Spain'],Spain,Girona,AM   CM,"1,67",-
,Álex Pérez,Striker,Left Winger,"Jan 21, 1985 ",39,['Spain'],Spain,Madrid,,"1,84",-
,Rafael Rivera,Striker,Left Winger,"Jun 27, 1985 ",39,['Spain'],Spain,Valencia,,N/A,-
,Rubén Sánchez,Striker,Left Winger,"Jul 3, 1985 ",39,['Spain'],Spain,Elda,,"1,69",-
,Tete,Striker,Left Winger,"May 26, 1985 ",39,['Spain'],Spain,Badajoz,RW   LB,"1,65",-
,Daniel Gerika,Striker,Left Winger,"Jun 19, 1985 ",39,['Spain'],Spain,Miranda de Ebro,,"1,65",-
,Adrián Gisbert,Striker,Left Winger,"Jun 29, 1985 ",39,['Spain'],Spain,,RW,"1,78",-
,Borja Ramos,Striker,Left Winger,"Jan 14, 1985 ",39,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,83",-
,Óscar Rico,Striker,Left Winger,"Dec 5, 1985 ",38,['Spain'],Spain,Elche,RW   AM,"1,77",-
,Jaime Gavilán,Striker,Left Winger,"May 12, 1985 ",39,['Spain'],Spain,Valencia,LM   AM,"1,78",-
,Jaime Álvarez,Striker,Left Winger,"Feb 4, 1986 ",38,['Spain'],Spain,Oviedo,RW,"1,73",-
,Jorge Rodríguez,Striker,Left Winger,"Dec 21, 1986 ",37,['Spain'],Spain,Tudela,,,-
,Ibán Espinosa,Striker,Left Winger,"Oct 30, 1986 ",37,['Spain'],Spain,Mondragón,,"1,80",-
,Mario Pizarraya,Striker,Left Winger,"Jun 22, 1986 ",38,['Spain'],Spain,Sevilla,,"1,78",-
,Saúl Berjón,Striker,Left Winger,"May 24, 1986 ",38,['Spain'],Spain,Oviedo,RW,"1,78",-
10,Álvaro Portilla,Striker,Left Winger,"Apr 28, 1986 ",38,['Spain'],Spain,Madrid,,"1,80",-
,Nolito,Striker,Left Winger,"Oct 15, 1986 ",37,['Spain'],Spain,Sanlúcar de Barrameda,LM,"1,75",-
,David de Pablos,Striker,Left Winger,"Apr 1, 1986 ",38,['Spain'],Spain,Zumárraga,,"1,75",-
,Paco Montañés,Striker,Left Winger,"Oct 8, 1986 ",37,['Spain'],Spain,Castellón de la Plana,RW,"1,72",-
,Mikel Dañobeitia,Striker,Left Winger,"Mar 5, 1986 ",38,['Spain'],Spain,Barakaldo,,"1,79",-
7,Pedro Corral,Striker,Left Winger,"Oct 22, 1986 ",37,['Spain'],Spain,Alicún de Ortega,CF,"1,79",-
,Fran Suárez,Striker,Left Winger,"Feb 11, 1986 ",38,['Spain'],Spain,,CF   RW,"1,76",-
,Rafita,Striker,Left Winger,"Dec 26, 1986 ",37,['Spain'],Spain,Madrid,,"1,72",-
,David Meca,Striker,Left Winger,"Jan 4, 1986 ",38,['Spain'],Spain,Águilas,,"1,81",-
,Juanma,Striker,Left Winger,"Jul 22, 1986 ",38,['Spain'],Spain,Jaén,,"1,70",-
,Vicente Pérez,Striker,Left Winger,"Jul 11, 1986 ",38,['Spain'],Spain,Aspe,AM,"1,80",-
,Ferran Tacón,Striker,Left Winger,"Sep 18, 1986 ",38,['Spain'],Spain,Barcelona,RW   AM,"1,76",-
,Miguel Ángel Nieto,Striker,Left Winger,"Jan 12, 1986 ",38,['Spain'],Spain,San Sebastián de los Reyes,RW,"1,85",-
,Alejandro Alfaro,Striker,Left Winger,"Nov 23, 1986 ",37,['Spain'],Spain,Huelva,RW   SS,"1,75",-
,Oskitz Estefanía,Striker,Left Winger,"Oct 12, 1986 ",37,['Spain'],Spain,Pasaia,,"1,68",-
,Juanmi Callejón,Striker,Left Winger,"Feb 11, 1987 ",37,['Spain'],Spain,Motril,RW   AM,"1,80",€100k
9,Néstor Querol,Striker,Left Winger,"Sep 21, 1987 ",36,['Spain'],Spain,Castelló de La Plana,,"1,84",-
,Ismael Luque,Striker,Left Winger,"Feb 24, 1987 ",37,['Spain'],Spain,Sevilla,,"1,70",-
,Sota,Striker,Left Winger,"Jun 1, 1987 ",37,['Spain'],Spain,Badajoz,RW   AM,"1,67",-
,Alberto Berna,Striker,Left Winger,"Jun 12, 1987 ",37,['Spain'],Spain,Elche,,"1,73",-
,Juanjo Clausí,Striker,Left Winger,"Jul 14, 1987 ",37,['Spain'],Spain,Albalat,SS   RW,"1,72",-
10,Javi Salero,Striker,Left Winger,"Feb 27, 1987 ",37,['Spain'],Spain,Altea,RW,"1,62",-
,José Manuel Cabrera,Striker,Left Winger,"Feb 10, 1987 ",37,['Spain'],Spain,Ingenio,,"1,75",-
,Lander Gabilondo,Striker,Left Winger,"Apr 30, 1987 ",37,['Spain'],Spain,Donostia-San Sebastián,RW   AM,"1,74",-
,Diego Manzano,Striker,Left Winger,"Feb 18, 1987 ",37,['Spain'],Spain,Guadalajara,LB,"1,71",-
,Aimar Cid,Striker,Left Winger,"Oct 20, 1987 ",36,['Spain'],Spain,Barakaldo,AM   RW,"1,72",-
,Micro,Striker,Left Winger,"Mar 19, 1987 ",37,['Spain'],Spain,Orihuela,,"1,77",-
