Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
16,Jesús Navas,Defender,Right-Back,"Nov 21, 1985 ",38,['Spain'],Spain,Los Palacios y Villafranca,RM   RW,"1,70",€2.50m
,José Carlos Segura,Defender,Right-Back,"Jun 21, 1985 ",39,['Spain'],Spain,La Línea de la Concepción,,"1,83",-
,Gonzalo Mantilla,Defender,Right-Back,"Mar 9, 1985 ",39,['Spain'],Spain,Cabezón de la Sal,,"1,80",-
,Toni,Defender,Right-Back,"Feb 11, 1985 ",39,['Spain'],Spain,Barcelona,,"1,70",-
5,José Carlos Gil,Defender,Right-Back,"Apr 25, 1985 ",39,['Spain'],Spain,Zaragoza,CB,"1,82",-
,Fernando Delgado,Defender,Right-Back,"May 7, 1985 ",39,['Spain'],Spain,Logroño,,"1,82",-
,Tito,Defender,Right-Back,"Jul 11, 1985 ",39,['Spain'],Spain,Madrid,LB   CB,"1,74",-
,Damián Fuente,Defender,Right-Back,"Jan 5, 1985 ",39,['Spain'],Spain,Sotrondio,,"1,80",-
,Adrián Maiquez,Defender,Right-Back,"Jun 27, 1985 ",39,['Spain'],Spain,Algeciras,,"1,73",-
,Juan Pedro Pina,Defender,Right-Back,"Jun 29, 1985 ",39,['Spain'],Spain,Murcia,,"1,80",-
,Adriano Gil,Defender,Right-Back,"Apr 18, 1985 ",39,['Spain'],Spain,Miranda de Ebro,,"1,72",-
,José Antonio Llamas,Defender,Right-Back,"Feb 28, 1985 ",39,['Spain'],Spain,Terrassa,LB,"1,69",-
,Beñat Larrañaga,Defender,Right-Back,"May 10, 1985 ",39,['Spain'],Spain,Usurbil,,"1,76",-
,Francisco Carlos,Defender,Right-Back,"Jul 15, 1985 ",39,['Spain'],Portugal,La Línea de la Concepción,LB,"1,75",-
,Mikel Lusarreta,Defender,Right-Back,"Sep 4, 1985 ",38,['Spain'],Portugal,Pamplona,,,-
,Rubén Comesaña,Defender,Right-Back,"Mar 30, 1985 ",39,['Spain'],Portugal,Vigo,CB,"1,78",-
,Raúl Muñoz,Defender,Right-Back,"Apr 1, 1985 ",39,['Spain'],Portugal,Teruel,,,-
,Iván Collado,Defender,Right-Back,"Aug 18, 1985 ",38,['Spain'],Portugal,La Línea de la Concepción,,"1,77",-
,Juanjo Asensio,Defender,Right-Back,"Aug 31, 1985 ",38,['Spain'],Portugal,Águilas,,"1,81",-
,Igna,Defender,Right-Back,"Jan 17, 1985 ",39,['Spain'],Portugal,Málaga,,"1,74",-
2,Pablo García,Defender,Right-Back,"May 30, 1985 ",39,['Spain'],Portugal,Albacete,LB,"1,80",-
,Borja Facal,Defender,Right-Back,"Jun 18, 1985 ",39,['Spain'],Portugal,Laxe,,"1,74",-
,David Alba,Defender,Right-Back,"Jun 4, 1985 ",39,['Spain'],Portugal,Madrid,,"1,77",-
,Antonio Amores,Defender,Right-Back,"Feb 23, 1985 ",39,['Spain'],Portugal,Madrid,,"1,76",-
,Marc Carrasco,Defender,Right-Back,"Aug 7, 1985 ",38,['Spain'],Portugal,Tarragona,,"1,80",-
,Laure,Defender,Right-Back,"Mar 22, 1985 ",39,['Spain'],Spain,Madrid,,"1,71",-
,Javi Chica,Defender,Right-Back,"May 17, 1985 ",39,['Spain'],Spain,Barcelona,LB,"1,75",-
,Francisco Molinero,Defender,Right-Back,"Jul 26, 1985 ",38,['Spain'],Spain,Toledo,LB   CB,"1,77",-
,David Córcoles,Defender,Right-Back,"May 8, 1985 ",39,['Spain'],Spain,Alicante,CB   LB,"1,80",-
,Jesús Gámez,Defender,Right-Back,"Apr 10, 1985 ",39,['Spain'],Spain,Fuengirola,LB   CB,"1,77",-
,Juanfran Torres,Defender,Right-Back,"Jan 9, 1985 ",39,['Spain'],Spain,Crevillente,RM,"1,81",-
21,Javi López,Defender,Right-Back,"Jan 21, 1986 ",38,['Spain'],Spain,Osuna,LB,"1,80",€175k
,José Ángel Camacho,Defender,Right-Back,"Feb 13, 1986 ",38,['Spain'],Spain,Arrecife,,,-
,Adrián Rodríguez,Defender,Right-Back,"May 22, 1986 ",38,['Spain'],Spain,Nalda,,"1,72",-
,Natael Díaz,Defender,Right-Back,"Dec 11, 1986 ",37,['Spain'],Spain,Santa Cruz de Tenerife,,"1,82",-
,Jesús Sánchez,Defender,Right-Back,"May 20, 1986 ",38,['Spain'],Spain,Manzanares,,"1,74",-
,Fabián Gómez,Defender,Right-Back,"Sep 15, 1986 ",37,['Spain'],Spain,Cuenca,,"1,75",-
,Imanol Aguiar,Defender,Right-Back,"Mar 5, 1986 ",38,['Spain'],Spain,Barakaldo,LB,"1,72",-
,Jaume Sobregrau,Defender,Right-Back,"Sep 4, 1986 ",37,['Spain'],Spain,Barcelona,CB,"1,80",-
,Javi Costa,Defender,Right-Back,"Oct 17, 1986 ",37,['Spain'],Spain,Almassora,,"1,71",-
,Ernesto Galán,Defender,Right-Back,"Jun 17, 1986 ",38,['Spain'],Spain,Madrid,CB,"1,81",-
,Álvaro Brachi,Defender,Right-Back,"Jan 6, 1986 ",38,['Spain'],Spain,Barcelona,CB,"1,79",-
,Moncho,Defender,Right-Back,"Jan 16, 1986 ",38,['Spain'],Spain,Lugo,,"1,86",-
,Jesús Alonso,Defender,Right-Back,"Mar 14, 1986 ",38,['Spain'],Spain,Ávila,,"1,72",-
,Miguelín,Defender,Right-Back,"Apr 23, 1986 ",38,['Spain'],Portugal,Los Villares,,,-
,Eneko Banderas,Defender,Right-Back,"Feb 26, 1986 ",38,['Spain'],Portugal,Llodio,,,-
,Eduardo Llamazares,Defender,Right-Back,"Nov 24, 1986 ",37,['Spain'],Portugal,León,,"1,84",-
,Antonio Nevado,Defender,Right-Back,"Oct 23, 1986 ",37,['Spain'],Portugal,Cáceres,,"1,79",-
2,Gabi Ramos,Defender,Right-Back,"Dec 23, 1986 ",37,['Spain'],Portugal,Huércal Overa,CB,"1,78",-
,Edu Oriol,Defender,Right-Back,"Nov 5, 1986 ",37,['Spain'],Portugal,Cambrils,RW,"1,77",-
,Arkaitz Pérez,Defender,Right-Back,"Sep 27, 1986 ",37,['Spain'],Portugal,Vitoria-Gasteiz,,"1,73",-
,Robert,Defender,Right-Back,"Aug 1, 1986 ",37,['Spain'],Portugal,Elche,,"1,75",-
,Iván Malón,Defender,Right-Back,"Aug 26, 1986 ",37,['Spain'],Portugal,Gandia,,"1,90",-
,Daniel Márquez,Defender,Right-Back,"Feb 6, 1986 ",38,['Spain'],Portugal,Madrid,,"1,74",-
,Jesús Varela,Defender,Right-Back,"Apr 15, 1986 ",38,['Spain'],Portugal,Vigo,,"1,75",-
,César Collado,Defender,Right-Back,"Sep 19, 1986 ",37,['Spain'],Portugal,Palma de Mallorca,,"1,69",-
17,Javi Moyano,Defender,Right-Back,"Feb 23, 1986 ",38,['Spain'],Spain,Jaén,,"1,80",-
,Fali,Defender,Right-Back,"Feb 22, 1986 ",38,['Spain'],Spain,Córdoba,,"1,77",-
,Carlos Martínez,Defender,Right-Back,"Apr 9, 1986 ",38,['Spain'],Spain,Lodosa,,"1,89",-
,Miguel Torres,Defender,Right-Back,"Jan 28, 1986 ",38,['Spain'],Spain,Madrid,LB   CB,"1,84",-
,Regino Najarro,Defender,Right-Back,"Dec 10, 1986 ",37,['Spain'],Spain,Zafra,,"1,70",-
