Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Paco Robles,Midfielder,Right Midfield,"Feb 28, 1985 ",39,['Spain'],Spain,Murcia,CM,"1,76",-
,Christian Widmer,Midfielder,Right Midfield,"Dec 31, 1985 ",38,"['Switzerland', 'Spain']",Spain,Madrid,,"1,85",-
,Denis Nájera,Midfielder,Right Midfield,"Mar 14, 1985 ",39,['Spain'],Spain,Castellón de la Plana,LM   AM,"1,69",-
,Juan Daniel,Midfielder,Right Midfield,"Oct 31, 1985 ",38,['Spain'],Portugal,Lorca,,"1,70",-
,Alberto Cajoto,Midfielder,Right Midfield,"Apr 25, 1985 ",39,['Spain'],Portugal,Guadalajara,AM,"1,74",-
,Finidi,Midfielder,Right Midfield,"Jan 5, 1986 ",38,['Spain'],Spain,Barcelona,RW,"1,82",-
,Rodri,Midfielder,Right Midfield,"Mar 7, 1986 ",38,['Spain'],Spain,Sevilla,AM,"1,81",-
,Andoni Idarramendi,Midfielder,Right Midfield,"Sep 15, 1986 ",37,['Spain'],Portugal,Irún,,"1,77",-
,Francisco Soberón,Midfielder,Right Midfield,"Jun 11, 1987 ",37,['Spain'],Spain,Barakaldo,,"1,69",-
,Israel Bascón,Midfielder,Right Midfield,"Mar 16, 1987 ",37,['Spain'],Spain,Utrera,LM   CM,"1,72",-
,Toto Hernández,Midfielder,Right Midfield,"Aug 17, 1987 ",36,['Spain'],Portugal,Mula,,"1,79",-
,Iago Sanginés,Midfielder,Right Midfield,"Nov 15, 1988 ",35,['Spain'],Spain,Ourense,LM   AM,"1,80",-
,Xabier Soria,Midfielder,Right Midfield,"Mar 21, 1988 ",36,['Spain'],Portugal,Pamplona,LM,"1,76",-
,Pedro Aldea,Midfielder,Right Midfield,"May 13, 1989 ",35,['Spain'],Spain,Madrid,,"1,80",-
,Davilillo,Midfielder,Right Midfield,"Jul 14, 1989 ",35,['Spain'],Spain,Nerja,RW   AM,"1,73",-
,Álex Torrella,Midfielder,Right Midfield,"Apr 22, 1989 ",35,['Spain'],Portugal,Alcoy,,"1,77",-
,Pedrito,Midfielder,Right Midfield,"Nov 28, 1990 ",33,['Spain'],Spain,Cadiz,,"1,80",-
,Carlos Mazana,Midfielder,Right Midfield,"Nov 3, 1990 ",33,['Spain'],Spain,Barcelona,SS   RW,"1,75",-
,Iván Franco,Midfielder,Right Midfield,"Feb 13, 1990 ",34,['Spain'],Spain,Barakaldo,,"1,82",-
,Roger Martinez,Midfielder,Right Midfield,"Oct 17, 1990 ",33,['Spain'],Portugal,Terrassa,,,-
,Maikel Páez,Midfielder,Right Midfield,"Jan 6, 1990 ",34,['Spain'],Portugal,Fuengirola,,,-
,Jordi Pablo,Midfielder,Right Midfield,"Jan 1, 1990 ",34,['Spain'],Portugal,Vinaròs,AM   RW,"1,76",-
,Yeray Gil,Midfielder,Right Midfield,"Apr 18, 1991 ",33,['Spain'],Spain,La Linea de la Concepción,CM   LM,,-
,Amray Cedrés,Midfielder,Right Midfield,"Jan 1, 1992 ",32,['Spain'],Spain,San Cristóbal de La Laguna,,,-
,Miri,Midfielder,Right Midfield,"Jul 2, 1995 ",29,['Spain'],Spain,Leganés,,,-
,Abraham El Mkhantar,Midfielder,Right Midfield,"Dec 11, 1996 ",27,"['Spain', 'Morocco']",Spain,Algeciras,,,-
,Pablo Fernández,Midfielder,Right Midfield,"Oct 25, 1996 ",27,['Spain'],Portugal,Madrid,LM,"1,76",-
,Valerón,Midfielder,Right Midfield,"Apr 17, 1997 ",27,['Spain'],Spain,San Cristóbal de La Laguna,CM   RB,"1,75",-
,Alexis LeBlanc,Midfielder,Right Midfield,"Oct 21, 1997 ",26,['Spain'],Portugal,Algeciras,CF   LM,"1,68",-
10,Christian Pacheco,Midfielder,Right Midfield,"Nov 19, 1998 ",25,['Spain'],Spain,La Linea de la Concepcion,RW   SS,,€25k
11,Luis Prior Bautista,Midfielder,Right Midfield,"Jul 29, 1998 ",25,['Spain'],Portugal,Sevilla,RW   LW,"1,72",-
,Javi Sandá,Midfielder,Right Midfield,"May 21, 1999 ",25,['Spain'],Spain,Culleredo,LM   CM,,-
,Alberto Díaz,Midfielder,Right Midfield,"Nov 4, 1999 ",24,['Spain'],Portugal,Manilva,,,-
12,Alberto Gómez,Midfielder,Right Midfield,"Feb 17, 2000 ",24,['Spain'],Spain,Madrid,,,-
,Daniel Miljanovic,Midfielder,Right Midfield,"Apr 11, 2001 ",23,"['Sweden', 'Bosnia-Herzegovina']",Spain,Elche,RB   LM,"1,78",€125k
7,Darío Cavada,Midfielder,Right Midfield,"Jul 15, 2001 ",23,['Spain'],Portugal,Santoña,CM,"1,78",-
,Kai McCormack,Midfielder,Right Midfield,"Sep 23, 2002 ",21,['Scotland'],Spain,Santa Cruz de Tenerife,RB,"1,79",-
25,Marcelo Comesaña,Midfielder,Right Midfield,N/A ,21,"['Spain', 'Germany']",Spain,Vigo,LM   RB,"1,76",-
11,Dennis Pregla,Midfielder,Right Midfield,"Oct 6, 2003 ",20,['Spain'],Portugal,Murcia,RW,,-
