Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,David Corominas,Striker,Right Winger,"Sep 29, 1985 ",38,['Spain'],Spain,Vilassar de Mar,CF,"1,68",€50k
,José Cayado,Striker,Right Winger,"Jan 18, 1985 ",39,['Spain'],Spain,Olivenza,,"1,87",-
,Jordi Xumetra,Striker,Right Winger,"Oct 24, 1985 ",38,['Spain'],Spain,L'Estartit,LW   CF,"1,77",-
,Iker Alegre,Striker,Right Winger,"Oct 29, 1985 ",38,['Spain'],Spain,Gijón,,"1,74",-
,Fernando Velasco,Striker,Right Winger,"Jan 8, 1985 ",39,['Spain'],Spain,Córdoba,LW   RB,"1,79",-
,Jorge Giménez,Striker,Right Winger,"Jan 7, 1985 ",39,['Spain'],Spain,Bétera,LW   AM,"1,70",-
,Luís Doménech,Striker,Right Winger,"Feb 2, 1985 ",39,['Spain'],Spain,Elda,LW   AM,"1,75",-
7,Omar Sampedro,Striker,Right Winger,"Jun 5, 1985 ",39,['Spain'],Spain,Avilés,LW   RB,"1,69",-
,Nauzet Alemán,Striker,Right Winger,"Feb 25, 1985 ",39,['Spain'],Spain,Las Palmas de Gran Canaria,,"1,81",-
,Didac Rodríguez,Striker,Right Winger,"Feb 20, 1985 ",39,['Spain'],Spain,Barcelona,,"1,81",-
,Moi Gómez,Striker,Right Winger,"Aug 18, 1985 ",39,['Spain'],Spain,Granada,,"1,86",-
,César Huete,Striker,Right Winger,"Apr 19, 1985 ",39,['Spain'],Spain,Madrid,RB   LW,"1,78",-
,David Giménez,Striker,Right Winger,"Oct 24, 1985 ",38,['Spain'],Spain,Lleida,,"1,78",-
,Dani Ederra,Striker,Right Winger,"Nov 17, 1985 ",38,['Spain'],Spain,Pamplona,,"1,73",-
,Carlos Valverde,Striker,Right Winger,"Feb 19, 1985 ",39,['Spain'],Spain,Utrera,LW,"1,74",-
,Aitor Ramos,Striker,Right Winger,"Jun 11, 1985 ",39,['Spain'],Spain,Bermeo,CF,"1,78",-
,Carlos Calvo,Striker,Right Winger,"Sep 18, 1985 ",38,['Spain'],Spain,Madrid,LW   AM,"1,74",-
,Pablo Hernández,Striker,Right Winger,"Apr 11, 1985 ",39,['Spain'],Spain,Castellón,AM   LW,"1,73",-
,Javier Balboa,Striker,Right Winger,"May 13, 1985 ",39,"['Equatorial Guinea', 'Spain']",Spain,Madrid,AM   LW,"1,82",-
,Javier Dopico,Striker,Right Winger,"May 22, 1985 ",39,['Spain'],Spain,Málaga,,"1,81",-
14,Pedro León,Striker,Right Winger,"Nov 24, 1986 ",37,['Spain'],Spain,Mula,AM,"1,83",€300k
,Mauro Nores,Striker,Right Winger,"Mar 17, 1986 ",38,['Spain'],Spain,Moaña,,,-
,Miguel Maeztu,Striker,Right Winger,"Sep 1, 1986 ",37,['Spain'],Spain,Valtierra,AM,"1,85",-
,Rubén Gómez,Striker,Right Winger,"Mar 14, 1986 ",38,['Spain'],Spain,Puertollano,,"1,75",-
,Miguel Ángel,Striker,Right Winger,"Jan 3, 1986 ",38,['Spain'],Spain,Las Torres de Cotillas,,"1,85",-
,Titi,Striker,Right Winger,"Oct 27, 1986 ",37,['Spain'],Spain,Gijón,,"1,77",-
,Borja Truchado,Striker,Right Winger,"Mar 27, 1986 ",38,['Spain'],Spain,Madrid,AM,"1,84",-
,Sufian Embark,Striker,Right Winger,"Sep 24, 1986 ",37,"['Morocco', 'Spain']",Spain,Melilla,LW   AM,"1,70",-
,Tuto,Striker,Right Winger,"Apr 9, 1986 ",38,['Spain'],Spain,Getxo,,"1,71",-
,Eloy Expósito,Striker,Right Winger,"Apr 7, 1986 ",38,['Spain'],Spain,Écija,,"1,74",-
,Álvaro García,Striker,Right Winger,"Jul 7, 1986 ",38,['Spain'],Spain,Alicante,,"1,68",-
