Number,Name,Main Position,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Charly,Striker,Second Striker,"Nov 21, 1985 ",38,['Spain'],Spain,Nerja,,"1,68",-
,Villa,Striker,Second Striker,"Aug 16, 1985 ",39,['Spain'],Spain,Cartagena,RW   LW,"1,76",-
,Añete,Striker,Second Striker,"Oct 1, 1985 ",38,['Spain'],Spain,Coria del Río,LW   AM,"1,76",-
,Sergio Cirio,Striker,Second Striker,"Mar 9, 1985 ",39,['Spain'],Spain,Barcelona,RW   LW,"1,63",-
10,Bienve Marañón,Striker,Second Striker,"May 15, 1986 ",38,"['Philippines', 'Spain']",Spain,El Puerto de Santa María,CF   AM,"1,73",€125k
20,Fernando Carralero,Striker,Second Striker,"May 16, 1986 ",38,['Spain'],Spain,San Fernando,LW   RW,"1,74",-
,Chico Díaz,Striker,Second Striker,"May 9, 1986 ",38,['Spain'],Spain,Sevilla,CF,"1,80",-
,Roberto Delgado,Striker,Second Striker,"May 7, 1986 ",38,"['Italy', 'Spain']",Spain,San Miguel de Abona,RW   CF,"1,86",-
,Dani Pevida,Striker,Second Striker,"May 14, 1986 ",38,['Spain'],Spain,Oviedo,LW   AM,,-
,Michu,Striker,Second Striker,"Mar 21, 1986 ",38,['Spain'],Spain,Oviedo,CF   AM,"1,85",-
,Rubén Espinosa,Striker,Second Striker,"May 2, 1986 ",38,['Spain'],Spain,Burgos,,"1,75",-
11,Dani Martínez,Striker,Second Striker,"Jan 13, 1987 ",37,['Spain'],Spain,Madrid,LW   RW,"1,80",€25k
,José Gaspar,Striker,Second Striker,"Jul 12, 1987 ",37,['Spain'],Spain,Cáceres,LW,"1,80",-
17,Ros,Striker,Second Striker,"Aug 12, 1987 ",37,['Spain'],Spain,,,,-
7,Alberto Heredia,Striker,Second Striker,"Mar 2, 1987 ",37,['Spain'],Spain,Cádiz,LW   RW,"1,81",-
8,José Agustín Martínez,Striker,Second Striker,"Aug 21, 1988 ",36,['Spain'],Spain,Totana,CM   RM,"1,81",-
,Francisco Jose Peña,Striker,Second Striker,"Dec 24, 1988 ",35,['Spain'],Spain,Almeria,LW   RW,,-
,Pachu Martínez,Striker,Second Striker,"Feb 19, 1988 ",36,['Spain'],Spain,Elche,LW   RW,"1,77",-
,Hugo Aguado,Striker,Second Striker,"Dec 28, 1988 ",35,['Spain'],Spain,Zamora,,"1,68",-
,Jesús Berrocal,Striker,Second Striker,"Feb 5, 1988 ",36,['Spain'],Spain,Córdoba,CF   CM,"1,83",-
,Ricardo Bonilla,Striker,Second Striker,"Jul 11, 1988 ",36,['Spain'],Spain,El Provencio,,,-
,Diego Arnejo,Striker,Second Striker,N/A ,36,"['Spain', 'Brazil']",Spain,Santiago de Compostela,AM   LM,"1,84",-
,Esaúl Pérez,Striker,Second Striker,"Jan 9, 1988 ",36,['Spain'],Spain,Logroño,CF,,-
20,Nico González,Striker,Second Striker,"Nov 6, 1988 ",35,['Spain'],Spain,Molina de Segura,RW   LW,"1,63",-
,Alberto Bueno,Striker,Second Striker,"Mar 20, 1988 ",36,['Spain'],Spain,Madrid,RW   LW,"1,78",-
14,Kike Márquez,Striker,Second Striker,"Jul 23, 1989 ",35,['Spain'],Spain,Sanlúcar de Barrameda,LW   RW,"1,76",€300k
,Víctor Oribe,Striker,Second Striker,"Sep 2, 1989 ",34,['Spain'],Spain,Tarragona,,"1,75",-
,Willy Ledesma,Striker,Second Striker,"Jan 23, 1989 ",35,['Spain'],Spain,Torremejía,CF,"1,85",€250k
,Miguel Ángel Guerrero,Striker,Second Striker,"Jul 12, 1990 ",34,['Spain'],Spain,Toledo,CF   AM,"1,80",€350k
,Monde,Striker,Second Striker,"Jan 20, 1990 ",34,['Spain'],Spain,Barcelona,CF   AM,"1,65",-
,Pablo Espina,Striker,Second Striker,"Apr 14, 1990 ",34,['Spain'],Spain,Oviedo,CF   LW,"1,84",-
,Chus Hevia,Striker,Second Striker,"May 11, 1990 ",34,['Spain'],Spain,Oviedo,CF,"1,80",-
,Bojan Krkic,Striker,Second Striker,"Aug 28, 1990 ",33,"['Spain', 'Serbia']",Spain,Liñola,CF   RW,"1,70",-
11,Dani Aquino,Striker,Second Striker,"Jul 27, 1990 ",34,"['Spain', 'Argentina']",Spain,Murcia,CF   LW,"1,78",€200k
10,Ángel Carrascosa,Striker,Second Striker,"Apr 1, 1990 ",34,['Spain'],Spain,Tomelloso,AM   RW,"1,82",-
,Gabri Ortega,Striker,Second Striker,"Jan 22, 1990 ",34,['Spain'],Spain,Burgos,,"1,90",-
19,Fofo,Striker,Second Striker,"Mar 2, 1990 ",34,['Spain'],Spain,Palma de Mallorca,CF,"1,80",-
,Pablo Gonzalez Huerta,Striker,Second Striker,N/A ,33,['Spain'],Spain,,CF,"1,76",-
,Edu Vallecillo,Striker,Second Striker,"Mar 21, 1991 ",33,['Spain'],Spain,Valladolid,LW,"1,79",-
,David Muñoz Páez,Striker,Second Striker,"Apr 30, 1991 ",33,['Spain'],Spain,Archidona,,,-
10,Néstor Albiach,Striker,Second Striker,"Aug 18, 1992 ",32,['Spain'],Spain,Xirivella,LW   RW,"1,87",€300k
10,Mario Cantí,Striker,Second Striker,"Dec 28, 1992 ",31,['Spain'],Spain,Barcelona,,,-
,Álex Conde,Striker,Second Striker,"Sep 4, 1992 ",31,['Spain'],Spain,Talavera de la Reina,LW   AM,"1,73",-
,Chema,Striker,Second Striker,"Jun 9, 1992 ",32,['Spain'],Spain,Maoño,RW   LW,"1,74",-
8,Jorge Hernández,Striker,Second Striker,"Feb 6, 1992 ",32,['Spain'],Spain,Zamora,RW   LW,"1,68",-
7,Dani Hernández,Striker,Second Striker,"May 30, 1992 ",32,['Spain'],Spain,Zamora,LW   RW,"1,77",€100k
,Raúl Rodríguez,Striker,Second Striker,"Aug 6, 1992 ",32,['Spain'],Spain,Mieres,RM,,-
,Luis Pérez,Striker,Second Striker,"Feb 5, 1992 ",32,['Spain'],Spain,Granada,AM,"1,83",-
